video_id,window_n,active_window_frac,max_peak_visual_gap,max_visual_minus_control,top_control_ratio,mean_control_ratio,top_dominance_margin,top_route,top_dominant_type,layout_window_count,action_window_count,low_window_count,category,top1_vs_uniform,scene_agent_time_rho,scene_agent_peak_apart,mean_visual_gap,max_visual_gap,all_n,all_mean_delta,matched_n,matched_mean_delta,matched_wins,matched_losses,matched_ties,unmatched_n,unmatched_mean_delta,run
0m0-Q0zz_-c_000112_000122,4,0.5,1.0014171641982383,0.24162580646294993,0.15380100311500802,0.15544493522451072,0.10502670110067508,layout_replay_or_scene_cue,scene_spatial,2,0,2,How-to & Instructional,3.7436902172210695,0.9308049893233223,0.0,0.26749466598269644,1.0014171641982383,5,-0.1,0,nan,0,0,0,5,-0.1,surgical_haiku
0t0DB1B1w8Y_000000_000010,3,0.0,0.05543514813754713,0.0008107320730666445,1.8029774894212853,1.27517053745711,4.041465416954049e-05,static_ad_ok_low_gap,agent_action,0,0,3,Sports,1.6939587275706451,0.09728044500500976,1.0,0.03272520589509773,0.05543514813754713,5,0.3,1,0.5,1,0,0,4,0.25,surgical_haiku
1-jIze6gy0g_000026_000036,4,0.25,0.595758704526796,0.23241903048222395,0.1460119706020851,0.6218538202459561,0.2612939710026695,layout_replay_or_scene_cue,scene_spatial,1,0,3,How-to & Instructional,3.1047725660419117,0.35629823908829106,1.0,0.19188481341365787,0.595758704526796,5,0.1,1,0.0,0,0,1,4,0.125,surgical_haiku
1HUWWCLza0w_000000_000010,3,0.6666666666666666,1.368165970638435,0.41814050942278563,0.07746946596199007,0.9296836999907893,0.20268944676905282,action_state_or_agent_cue,agent_action,1,1,1,Sports,3.6976595520921487,0.32331664380558506,1.0,0.3700086369131312,1.368165970638435,5,-0.1,0,nan,0,0,0,5,-0.1,surgical_haiku
1YemrpNBpf4_000001_000011,4,0.25,0.7834556265811858,0.5246489944857552,0.013118248476871626,0.3375929980774594,0.4379396574289536,action_state_or_agent_cue,agent_action,0,1,3,Entertainment,3.02062244190861,-0.002188518573726862,1.0,0.2593689352602941,0.7834556265811858,5,-0.1,0,nan,0,0,0,5,-0.1,surgical_haiku
1kLhK8KfIEw_000020_000030,4,1.0,0.38394841934619484,0.2744002721222709,1.4890898160685146,0.5442770738703839,0.17233207698168718,layout_replay_or_scene_cue,scene_spatial,4,0,0,How-to & Instructional,1.3126949520465674,0.7605862173856002,0.0,0.29248868425036373,0.38394841934619484,5,0.1,0,nan,0,0,0,5,0.1,surgical_haiku
21T1JDdJgsM_000047_000057,4,0.25,0.6462093690891746,0.15675399777446075,0.2465263104479136,3.0458345638210527,0.08362957952968164,action_state_or_agent_cue,agent_action,0,1,3,Entertainment,3.2875936577335043,0.2856588600746781,1.0,0.19655998774942185,0.6462093690891746,5,0.3,0,nan,0,0,0,5,0.3,surgical_haiku
2kJxrcNRS9w_000047_000057,4,0.75,0.7995618815521248,0.4192073256966091,0.9998301254379128,7.827011773038205,0.45056643393804985,layout_replay_or_scene_cue,scene_spatial,3,0,1,Sports,1.8692213028824372,0.5928614645681023,1.0,0.42775132100150925,0.7995618815521248,5,0.2,0,nan,0,0,0,5,0.2,surgical_haiku
3su234u58DA_000172_000182,4,0.5,0.7563181075466374,0.6908372024817462,0.08657852352272742,1.0107625011031471,0.6739017615964777,action_state_or_agent_cue,agent_action,0,2,2,Entertainment,3.912597614973138,-0.18717795982587704,1.0,0.19330331968007142,0.7563181075466374,5,-0.1,1,0.5,1,0,0,4,-0.25,surgical_haiku
3ufJNSez5Is_000008_000018,4,0.0,0.28478637695885756,0.04422477437429029,0.22230428135935143,1.3119580011708643,0.010260293165969658,static_ad_ok_low_gap,agent_action,0,0,4,How-to & Instructional,2.6481743668568756,0.6822960228603615,0.0,0.10754064404636283,0.28478637695885756,5,0.4,1,0.5,1,0,0,4,0.375,surgical_haiku
