feature,adqa_fail_auc_high_bad,ensemble_fail_auc_high_bad,spearman_vs_adqa_fail
mean_visual_gap,0.672,0.9137931034482759,0.22208189203207632
max_visual_gap,0.616,0.8448275862068966,0.14977615974256311
top1_vs_uniform,0.452,0.4224137931034483,-0.0619763419624399
top1_share,0.508,0.4482758620689655,0.010329390327073317
scene_agent_peak_apart,0.49,0.49137931034482757,-0.014915408491089419
