scorer,outcome,feature,spearman_rho,p,n
vlm_best_dims_mean,tier3_margin,mean_need,-0.24664602683178533,0.32380881293776365,18
selected3_mean,spread,high_need_frac,-0.2445977853448197,0.3279720068455271,18
claude_vlm_specificity_norm,tier3_margin,max_need,-0.23578126955085923,0.34624725943493073,18
all4_mean,tier3_margin,extended_seconds_frac,-0.2330414069266513,0.35204334174768714,18
claude_vlm_specificity_norm,tier3_margin,extended_seconds_frac,-0.2319670688625873,0.3543311009789758,18
strict_all4_80adqa_20clip,tier3_margin,extended_seconds_frac,-0.2288984485812886,0.36091210459712286,18
claude_vlm_completeness_norm,tier3_margin,need_entropy,-0.22842404714161937,0.3619356468106184,18
claude_vlm_completeness_norm,tier3_margin,tribe_pressure,-0.22842404714161937,0.3619356468106184,18
vlm_best_dims_mean,tier3_margin,tribe_pressure,-0.2280701754385965,0.3627002084947103,18
selected3_mean,tier2_vs_tier1,need_entropy,0.2280701754385965,0.3627002084947103,18
selected3_mean,tier2_vs_tier1,mean_speech_density,0.22772260568357916,0.3634520420480606,18
strict_all4_80adqa_20clip,tier3_margin,mean_extended_need_score,-0.2260061919504644,0.36717772555501726,18
claude_vlm_completeness_norm,tier2_vs_tier1,tribe_pressure,0.22417367333906765,0.37117902993711593,18
clip_mean_norm,tier3_margin,mean_extended_need_score,0.22187822497420018,0.3762254210655622,18
all4_mean,spread,mean_standard_slot_score,-0.2214695598726834,0.37712783205043676,18
selected3_mean,spread,extended_seconds_frac,-0.21905114460386205,0.3824927575884556,18
all4_mean,tier2_vs_tier1,mean_speech_density,0.21526017452676638,0.39098687337508553,18
claude_vlm_completeness_norm,tier3_margin,extended_seconds_frac,-0.21213738601611176,0.39806077675240503,18
strict_all4_80adqa_20clip,tier3_margin,max_need,0.20949432404540763,0.40410193596361976,18
clip_mean_norm,tier2_vs_tier1,extended_seconds_frac,-0.20921939644081583,0.40473315748103644,18
clip_mean_norm,tier2_vs_tier1,mean_speech_density,-0.2073295365178855,0.4090865670595074,18
claude_vlm_completeness_norm,tier2_vs_tier1,high_need_frac,0.20603939568809546,0.4120728659722884,18
selected3_mean,tier2_vs_tier1,mean_standard_slot_score,-0.20279774336995357,0.41962758420928814,18
claude_vlm_specificity_norm,tier2_vs_tier1,extended_seconds_frac,0.20093347975009043,0.4240053144835091,18
all4_mean,tier2_vs_tier1,need_entropy,0.19711042311661509,0.433057670392028,18
claude_vlm_completeness_norm,tier2_vs_tier1,high_need_seconds_frac,0.19699392251473913,0.43333509795807734,18
selected3_mean,tier2_vs_tier1,high_need_seconds_frac,0.1874688651276617,0.4563286459469117,18
vlm_best_dims_mean,tier3_margin,need_entropy,-0.1847265221878225,0.4630613329179911,18
claude_vlm_specificity_norm,tier3_margin,tribe_pressure,-0.18304072241448283,0.4672247689773166,18
selected3_mean,spread,max_need,0.18140966575150178,0.47127075889345593,18
selected3_mean,tier2_vs_tier1,high_need_frac,0.18087796945997028,0.4725934397869882,18
strict_all4_80adqa_20clip,spread,mean_need,0.17787288105632798,0.48010362379963045,18
claude_vlm_specificity_norm,tier3_margin,mean_need,-0.1768359521631444,0.48270862133820647,18
vlm_best_dims_mean,tier2_vs_tier1,extended_seconds_frac,0.17503999009157364,0.4872368198729736,18
all4_mean,spread,max_need,0.1731422095327407,0.49204412401019937,18
claude_vlm_completeness_norm,tier2_vs_tier1,need_entropy,0.17148769481237436,0.4962538582475785,18
all4_mean,tier2_vs_tier1,mean_standard_slot_score,-0.16994224304744712,0.5002016900229542,18
strict_all4_80adqa_20clip,tier2_vs_tier1,mean_speech_density,0.16880929476046413,0.5031053066630737,18
clip_mean_norm,tier2_vs_tier1,mean_standard_slot_score,0.16427750161253224,0.5147995572687734,18
selected3_mean,spread,tribe_pressure,-0.16251282556905366,0.5193874834304433,18
all4_mean,spread,mean_speech_density,0.16217849659968153,0.5202588353196695,18
strict_all4_80adqa_20clip,tier2_vs_tier1,high_need_seconds_frac,0.1543251983647602,0.5409200484532637,18
strict_all4_80adqa_20clip,tier2_vs_tier1,need_entropy,0.15376676986584106,0.5424031647570589,18
vlm_best_dims_mean,tier3_margin,max_need,-0.15170278637770898,0.5479006675946312,18
all4_mean,tier3_margin,max_need,0.15170278637770898,0.5479006675946312,18
all4_mean,tier2_vs_tier1,high_need_seconds_frac,0.15121797960573816,0.5491955642238542,18
claude_vlm_specificity_norm,tier2_vs_tier1,max_need,0.1496388028895769,0.5534228921214378,18
strict_all4_80adqa_20clip,spread,high_need_frac,0.14721769041359087,0.5599318018670325,18
strict_all4_80adqa_20clip,tier2_vs_tier1,high_need_frac,0.14553399841606804,0.5644778786105412,18
vlm_best_dims_mean,tier2_vs_tier1,max_need,0.1413828689370485,0.5757540929543488,18
claude_vlm_completeness_norm,tier3_margin,high_need_frac,-0.1395129588022024,0.5808646968969384,18
vlm_best_dims_mean,tier2_vs_tier1,mean_need,0.1393188854489164,0.5813962095847576,18
all4_mean,tier2_vs_tier1,high_need_frac,0.1392968270553794,0.58145663435337,18
claude_vlm_completeness_norm,tier3_margin,high_need_seconds_frac,-0.13589240864601781,0.5908139684878985,18
selected3_mean,tier2_vs_tier1,mean_extended_need_score,0.13519091847265222,0.5927498112228585,18
all4_mean,spread,need_entropy,-0.13184223294694933,0.6020268130594751,18
clip_mean_norm,tier3_margin,extended_seconds_frac,0.1315389274652654,0.6028699814828081,18
strict_all4_80adqa_20clip,spread,tribe_pressure,0.1302890530030428,0.6063495951148296,18
claude_vlm_specificity_norm,tier2_vs_tier1,need_entropy,-0.12899896800825592,0.6099496263278286,18
selected3_mean,tier3_margin,max_need,0.12899896800825592,0.6099496263278286,18
strict_all4_80adqa_20clip,tier2_vs_tier1,mean_standard_slot_score,-0.12802315642907683,0.6126783418789554,18
selected3_mean,spread,mean_need,-0.1266088292224023,0.6166419150407213,18
strict_all4_80adqa_20clip,spread,high_need_seconds_frac,0.12621396736031726,0.6177503028063889,18
strict_all4_80adqa_20clip,tier2_vs_tier1,mean_extended_need_score,0.11867905056759545,0.6390493358496443,18
vlm_best_dims_mean,tier3_margin,high_need_frac,-0.1174667272929692,0.6425020164085555,18
vlm_best_dims_mean,tier3_margin,high_need_seconds_frac,-0.11703857325649597,0.6437230660311186,18
clip_mean_norm,tier2_vs_tier1,tribe_pressure,-0.11661506707946334,0.6449317151979074,18
clip_mean_norm,tier2_vs_tier1,high_need_seconds_frac,-0.11393135449747396,0.6526103884602361,18
vlm_best_dims_mean,tier2_vs_tier1,tribe_pressure,0.11248710010319916,0.6567565630509027,18
all4_mean,tier2_vs_tier1,mean_extended_need_score,0.11248710010319916,0.6567565630509027,18
clip_mean_norm,tier2_vs_tier1,mean_need,-0.11042311661506708,0.6626984309773885,18
clip_mean_norm,tier3_margin,mean_speech_density,0.10876303555036615,0.6674914941932761,18
claude_vlm_specificity_norm,tier3_margin,need_entropy,-0.10858347939842201,0.6680106556509822,18
selected3_mean,spread,mean_standard_slot_score,-0.10683911534328767,0.6730616736209067,18
strict_all4_80adqa_20clip,tier2_vs_tier1,mean_need,0.10629514963880288,0.6746395315456968,18
vlm_best_dims_mean,spread,mean_speech_density,-0.1047645694142918,0.6790861354867304,18
vlm_best_dims_mean,spread,mean_standard_slot_score,0.1047645694142918,0.6790861354867304,18
selected3_mean,tier3_margin,mean_speech_density,-0.10423124240243424,0.6806379243616533,18
all4_mean,tier3_margin,mean_speech_density,-0.09969944925450232,0.6938725394440273,18
clip_mean_norm,tier2_vs_tier1,high_need_frac,-0.095636627530559,0.7058097855519808,18
claude_vlm_specificity_norm,tier2_vs_tier1,mean_need,0.09184726522187822,0.717002841661774,18
selected3_mean,tier2_vs_tier1,mean_need,0.08978328173374613,0.7231227825767574,18
selected3_mean,tier2_vs_tier1,tribe_pressure,0.08978328173374613,0.7231227825767574,18
clip_mean_norm,tier2_vs_tier1,max_need,0.08565531475748193,0.7354104124232369,18
strict_all4_80adqa_20clip,tier2_vs_tier1,tribe_pressure,0.08565531475748193,0.7354104124232369,18
all4_mean,tier2_vs_tier1,mean_need,0.08359133126934985,0.7415774315720882,18
vlm_best_dims_mean,tier2_vs_tier1,high_need_frac,0.0810832276889522,0.7490916279197474,18
vlm_best_dims_mean,tier2_vs_tier1,high_need_seconds_frac,0.08078768773457244,0.7499784881929976,18
clip_mean_norm,tier2_vs_tier1,mean_extended_need_score,-0.07946336429308565,0.7539561864360347,18
claude_vlm_specificity_norm,tier2_vs_tier1,tribe_pressure,0.07739938080495357,0.7601672386317742,18
all4_mean,spread,mean_extended_need_score,0.07465764998200747,0.7684393823994704,18
selected3_mean,spread,mean_speech_density,0.07157183455035775,0.7777781856886476,18
all4_mean,tier2_vs_tier1,tribe_pressure,0.07120743034055728,0.7788829476841138,18
strict_all4_80adqa_20clip,spread,extended_seconds_frac,0.06879229752521795,0.7862149967481551,18
strict_all4_80adqa_20clip,tier3_margin,mean_speech_density,-0.06797689721897884,0.7886943548563158,18
strict_all4_80adqa_20clip,spread,need_entropy,-0.06797689721897884,0.7886943548563158,18
claude_vlm_specificity_norm,tier3_margin,high_need_frac,-0.06770925170506312,0.7895085974399756,18
all4_mean,tier2_vs_tier1,max_need,-0.054695562435500514,0.8293348337875046,18
claude_vlm_completeness_norm,tier3_margin,max_need,-0.050646055701083034,0.8418135870074342,18
claude_vlm_specificity_norm,tier3_margin,high_need_seconds_frac,-0.05033737288516995,0.8427663190240505,18
clip_mean_norm,tier3_margin,need_entropy,-0.04643962848297213,0.8548139516870752,18
selected3_mean,spread,mean_extended_need_score,-0.045352416437875444,0.8581800134926564,18
vlm_best_dims_mean,spread,need_entropy,-0.04157304840138583,0.869898893491877,18
claude_vlm_specificity_norm,tier2_vs_tier1,high_need_seconds_frac,0.0414295834536269,0.8703442664109617,18
selected3_mean,tier2_vs_tier1,max_need,-0.038183694530443756,0.8804304907652736,18
strict_all4_80adqa_20clip,tier2_vs_tier1,max_need,0.034055727554179564,0.893282818838896,18
clip_mean_norm,tier2_vs_tier1,need_entropy,-0.034055727554179564,0.893282818838896,18
claude_vlm_specificity_norm,tier2_vs_tier1,high_need_frac,0.03222538536355792,0.8989898379582104,18
selected3_mean,tier2_vs_tier1,extended_seconds_frac,0.029000708417538826,0.9090557202821655,18
all4_mean,spread,high_need_seconds_frac,-0.02710189955430864,0.9149891506734137,18
strict_all4_80adqa_20clip,tier2_vs_tier1,extended_seconds_frac,-0.022786270899494792,0.9284901477629243,18
all4_mean,tier3_margin,mean_standard_slot_score,0.018127172591727695,0.9430864395255862,18
all4_mean,tier2_vs_tier1,extended_seconds_frac,-0.017607572967791432,0.9447154230263741,18
claude_vlm_completeness_norm,tier2_vs_tier1,max_need,0.01652893443974693,0.9480976944647226,18
vlm_best_dims_mean,tier2_vs_tier1,need_entropy,0.01547987616099071,0.9513880221541826,18
all4_mean,spread,high_need_frac,-0.012800491548313364,0.9597950781080841,18
all4_mean,spread,extended_seconds_frac,0.009565376313285403,0.9699511437274716,18
clip_mean_norm,tier3_margin,mean_standard_slot_score,-0.009063586295863848,0.9715268555249035,18
selected3_mean,tier3_margin,mean_standard_slot_score,0.006797689721897884,0.9786433508952158,18
all4_mean,spread,tribe_pressure,-0.004765381913745157,0.9850275352480873,18
strict_all4_80adqa_20clip,tier3_margin,mean_standard_slot_score,-0.004531793147931924,0.9857613810982069,18
all4_mean,spread,mean_need,0.0015884606379150523,0.9950089433472136,18
