kind,metric,rho,tau,wins,full,rule
soft_gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9623091332406173,0.8913694717588063,54/54,18/18,weight=tribe_pressure
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_completeness_norm,0.9622550203914378,0.8948986755962957,54/54,16/18,max_need>=0.838
soft_gate,high:vlm_best_dims_mean|low:selected3_mean,0.9620821525233301,0.8896099736042764,54/54,17/18,weight=extended_seconds_frac
gate,high:claude_vlm_completeness_norm|low:strict_all4_80adqa_20clip,0.962066515599081,0.8927853934889222,54/54,17/18,mean_need>=0.374
gate,high:claude_vlm_completeness_norm|low:strict_all4_80adqa_20clip,0.962066515599081,0.8927853934889222,54/54,17/18,tribe_pressure>=0.484
gate,high:vlm_best_dims_mean|low:claude_vlm_completeness_norm,0.962050625885957,0.8923942498147317,54/54,16/18,max_need>=0.624
soft_gate,high:selected3_mean|low:claude_vlm_completeness_norm,0.962050625885957,0.8923942498147317,54/54,17/18,weight=max_need
soft_gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.961975644563766,0.894817404282626,53/54,15/18,weight=mean_speech_density
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9619417431183026,0.895487567413778,54/54,16/18,high_need_seconds_frac>=0.373
gate,high:claude_vlm_specificity_norm|low:all4_mean,0.9617953697119549,0.8928978761136874,53/54,16/18,mean_speech_density>=1.000
gate,high:vlm_best_dims_mean|low:claude_vlm_completeness_norm,0.9617635979304415,0.8923105076413217,54/54,16/18,max_need>=0.730
gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9617418515383814,0.8970065537313605,53/54,16/18,max_need>=0.641
soft_gate,high:claude_vlm_completeness_norm|low:strict_all4_80adqa_20clip,0.9617121797315118,0.8885457162031036,54/54,16/18,weight=mean_speech_density
soft_gate,high:selected3_mean|low:claude_vlm_specificity_norm,0.9617039073706547,0.8904232196656442,54/54,17/18,weight=tribe_pressure
gate,high:claude_vlm_specificity_norm|low:strict_all4_80adqa_20clip,0.9616884763787789,0.8881629698074847,54/54,17/18,mean_speech_density>=1.000
soft_gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.9616644133154927,0.8941427128899389,54/54,16/18,weight=mean_speech_density
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_completeness_norm,0.9616325743400728,0.8935503691926714,54/54,16/18,max_need>=0.771
gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9614780763706382,0.8969279891511425,53/54,16/18,max_need>=0.730
gate,high:vlm_best_dims_mean|low:strict_all4_80adqa_20clip,0.9614774497247611,0.8886665908114828,54/54,17/18,extended_seconds_frac>=0.364
gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.961462115446719,0.8965271274599915,53/54,16/18,max_need>=0.771
gate,high:claude_vlm_completeness_norm|low:strict_all4_80adqa_20clip,0.961460680261802,0.8918356217937211,54/54,17/18,tribe_pressure>=0.522
gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9614541352828309,0.8965271274599915,53/54,16/18,max_need>=0.838
gate,high:vlm_best_dims_mean|low:claude_vlm_completeness_norm,0.9614448005547945,0.8914448942298223,54/54,16/18,max_need>=0.641
soft_gate,high:selected3_mean|low:claude_vlm_completeness_norm,0.9614448005547945,0.8914448942298223,54/54,17/18,weight=mean_need
soft_gate,high:selected3_mean|low:claude_vlm_specificity_norm,0.9614448005547945,0.8914448942298223,54/54,16/18,weight=max_need
soft_gate,high:vlm_best_dims_mean|low:claude_vlm_specificity_norm,0.9614448005547945,0.8914448942298223,54/54,17/18,weight=tribe_pressure
gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.9613344566643138,0.8945308499272248,54/54,17/18,mean_need>=0.374
gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.9613344566643138,0.8945308499272248,54/54,17/18,mean_need>=0.378
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9613344566643138,0.8945308499272248,54/54,16/18,high_need_seconds_frac>=0.417
gate,high:claude_vlm_completeness_norm|low:vlm_best_dims_mean,0.9613344566643138,0.8945308499272248,54/54,16/18,extended_seconds_frac>=0.628
gate,high:claude_vlm_completeness_norm|low:vlm_best_dims_mean,0.9613344566643138,0.8945308499272248,54/54,16/18,extended_seconds_frac>=0.727
gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.9613344566643138,0.8945308499272248,54/54,17/18,tribe_pressure>=0.484
gate,high:claude_vlm_completeness_norm|low:vlm_best_dims_mean,0.9613264796786922,0.8943319547941543,54/54,16/18,mean_need>=0.549
gate,high:claude_vlm_completeness_norm|low:vlm_best_dims_mean,0.9613264796786922,0.8943319547941543,54/54,16/18,high_need_seconds_frac>=0.759
