kind,metric,rho,tau,wins,full,rule
gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.9547964915517327,0.8813881331465104,54/54,16/18,mean_need>=0.374
gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.9547964915517327,0.8813881331465104,54/54,16/18,tribe_pressure>=0.484
soft_gate,high:strict_all4_80adqa_20clip|low:claude_vlm_completeness_norm,0.954795553148582,0.8743386874068128,54/54,17/18,weight=mean_need
soft_gate,high:strict_all4_80adqa_20clip|low:claude_vlm_specificity_norm,0.954795553148582,0.8743386874068128,54/54,16/18,weight=max_need
gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.9547807219120077,0.8810019827958203,54/54,16/18,extended_seconds_frac>=0.364
gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9547335320667214,0.8851890489758306,53/54,17/18,high_need_seconds_frac>=0.373
gate,high:claude_vlm_specificity_norm|low:claude_vlm_listener_utility_norm,0.9547335320667214,0.8851890489758306,53/54,16/18,high_need_seconds_frac>=0.417
gate,high:claude_vlm_specificity_norm|low:all4_mean,0.9547287522821039,0.8835652610643674,53/54,17/18,high_need_seconds_frac>=0.550
gate,high:claude_vlm_specificity_norm|low:all4_mean,0.9547287522821039,0.8835652610643674,53/54,17/18,tribe_pressure>=0.609
gate,high:vlm_best_dims_mean|low:strict_all4_80adqa_20clip,0.9547158932769124,0.8767712471420559,54/54,17/18,high_need_seconds_frac>=0.417
soft_gate,high:vlm_best_dims_mean|low:all4_mean,0.9547158932769124,0.8767712471420559,54/54,17/18,weight=mean_need
soft_gate,high:claude_vlm_completeness_norm|low:gpt_vlm_completeness_norm,0.9546939164030682,0.8847944917692551,54/54,16/18,weight=mean_speech_density
soft_gate,high:claude_vlm_specificity_norm|low:gpt_vlm_completeness_norm,0.9546497282574448,0.8823947170383072,53/54,16/18,weight=tribe_pressure
gate,high:claude_vlm_completeness_norm|low:vlm_best_dims_mean,0.954638462757841,0.8836139782458403,54/54,16/18,max_need>=0.838
gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.954525105499959,0.8814931134597607,54/54,16/18,tribe_pressure>=0.522
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9545170077363611,0.8856982224998268,54/54,16/18,max_need>=0.771
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_specificity_norm,0.9545123927068188,0.8840666653420378,54/54,16/18,max_need>=0.838
gate,high:all4_mean|low:claude_vlm_specificity_norm,0.9545011615798314,0.8853025565330194,54/54,16/18,max_need>=0.771
soft_gate,high:claude_vlm_completeness_norm|low:all4_mean,0.9544411969311029,0.8790681945476975,54/54,17/18,weight=tribe_pressure
gate,high:claude_vlm_specificity_norm|low:all4_mean,0.954433372201132,0.883283612340431,53/54,17/18,high_need_seconds_frac>=0.373
gate,high:claude_vlm_specificity_norm|low:vlm_best_dims_mean,0.954421942633436,0.8845128127928441,53/54,16/18,mean_need>=0.393
gate,high:claude_vlm_specificity_norm|low:vlm_best_dims_mean,0.954421942633436,0.8845128127928441,53/54,15/18,high_need_seconds_frac>=0.727
soft_gate,high:claude_vlm_completeness_norm|low:claude_vlm_listener_utility_norm,0.9543859693168891,0.8826976861649477,54/54,16/18,weight=mean_speech_density
soft_gate,high:strict_all4_80adqa_20clip|low:vlm_best_dims_mean,0.9543654527109136,0.8724827339503098,54/54,17/18,weight=max_need
gate,high:selected3_mean|low:claude_vlm_completeness_norm,0.9543543713176315,0.8821129244670053,53/54,16/18,max_need>=0.624
gate,high:selected3_mean|low:claude_vlm_specificity_norm,0.9543543713176315,0.8821129244670053,53/54,16/18,high_need_seconds_frac>=0.727
gate,high:gpt_vlm_completeness_norm|low:vlm_best_dims_mean,0.9543506624434421,0.8835285988318633,53/54,16/18,max_need>=0.771
gate,high:gpt_vlm_completeness_norm|low:vlm_best_dims_mean,0.9543506624434421,0.8835285988318633,53/54,16/18,max_need>=0.838
soft_gate,high:gpt_vlm_completeness_norm|low:claude_vlm_completeness_norm,0.9543348245699408,0.883135832153716,53/54,16/18,weight=mean_need
gate,high:claude_vlm_completeness_norm|low:gpt_vlm_completeness_norm,0.9542370747352924,0.8864082332099212,54/54,16/18,mean_speech_density>=0.682
gate,high:vlm_best_dims_mean|low:claude_vlm_completeness_norm,0.9541906562144539,0.8804383614513095,54/54,16/18,high_need_seconds_frac>=0.727
gate,high:strict_all4_80adqa_20clip|low:vlm_best_dims_mean,0.9541748965808453,0.8800526272109109,54/54,16/18,mean_need>=0.487
gate,high:strict_all4_80adqa_20clip|low:vlm_best_dims_mean,0.9541748965808453,0.8800526272109109,54/54,16/18,tribe_pressure>=0.710
soft_gate,high:claude_vlm_listener_utility_norm|low:vlm_best_dims_mean,0.9541748965808453,0.8800526272109109,53/54,15/18,weight=extended_seconds_frac
gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9541499518577816,0.8848232373361958,53/54,15/18,mean_need>=0.549
gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9541499518577816,0.8848232373361958,53/54,15/18,high_need_seconds_frac>=0.759
gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9541499518577816,0.8848232373361958,53/54,15/18,tribe_pressure>=0.919
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9540945224497188,0.8840339211779048,54/54,16/18,max_need>=0.730
gate,high:all4_mean|low:vlm_best_dims_mean,0.9540311863820407,0.8826576860615917,54/54,16/18,max_need>=0.838
soft_gate,high:claude_vlm_listener_utility_norm|low:strict_all4_80adqa_20clip,0.9540139843450418,0.8708224418008019,54/54,17/18,weight=extended_seconds_frac
gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9539254522928926,0.8853330068258108,53/54,16/18,high_need_seconds_frac>=0.550
gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9539254522928926,0.8853330068258108,53/54,16/18,tribe_pressure>=0.609
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9539175337633946,0.8849369732533999,54/54,16/18,max_need>=0.838
gate,high:gpt_vlm_completeness_norm|low:claude_vlm_completeness_norm,0.9539016972959654,0.8855312231065495,53/54,17/18,max_need>=0.624
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_specificity_norm,0.9538978774503174,0.8829156871909765,54/54,16/18,max_need>=0.771
gate,high:vlm_best_dims_mean|low:selected3_mean,0.95383597106114,0.8781219424545353,54/54,17/18,mean_need>=0.549
gate,high:vlm_best_dims_mean|low:all4_mean,0.95383597106114,0.8781219424545353,54/54,17/18,high_need_seconds_frac>=0.373
gate,high:vlm_best_dims_mean|low:all4_mean,0.95383597106114,0.8781219424545353,54/54,17/18,high_need_seconds_frac>=0.417
gate,high:vlm_best_dims_mean|low:selected3_mean,0.95383597106114,0.8781219424545353,54/54,17/18,high_need_seconds_frac>=0.759
gate,high:vlm_best_dims_mean|low:selected3_mean,0.95383597106114,0.8781219424545353,54/54,17/18,tribe_pressure>=0.919
soft_gate,high:claude_vlm_completeness_norm|low:all4_mean,0.95383597106114,0.8781219424545353,54/54,17/18,weight=mean_need
soft_gate,high:claude_vlm_listener_utility_norm|low:selected3_mean,0.95383597106114,0.8781219424545353,54/54,17/18,weight=mean_need
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_specificity_norm,0.9538031178139189,0.8821339998423409,54/54,17/18,mean_need>=0.549
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_specificity_norm,0.9538031178139189,0.8821339998423409,54/54,17/18,high_need_seconds_frac>=0.759
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_specificity_norm,0.9538031178139189,0.8821339998423409,54/54,17/18,tribe_pressure>=0.919
gate,high:all4_mean|low:claude_vlm_completeness_norm,0.9537715375434754,0.8817439339378651,53/54,15/18,mean_need>=0.487
gate,high:all4_mean|low:claude_vlm_completeness_norm,0.9537715375434754,0.8817439339378651,53/54,15/18,tribe_pressure>=0.710
gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.953755748584528,0.8813543850193881,54/54,17/18,mean_need>=0.393
gate,high:all4_mean|low:claude_vlm_completeness_norm,0.953755748584528,0.8813543850193881,53/54,15/18,max_need>=0.730
gate,high:selected3_mean|low:claude_vlm_specificity_norm,0.9537478543990946,0.8811598040731997,53/54,15/18,mean_need>=0.393
gate,high:all4_mean|low:claude_vlm_specificity_norm,0.9537478543990946,0.8811598040731997,53/54,16/18,high_need_seconds_frac>=0.727
gate,high:claude_vlm_specificity_norm|low:strict_all4_80adqa_20clip,0.953663580722106,0.8806475912557898,53/54,17/18,high_need_seconds_frac>=0.373
gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9536375837066475,0.8852495023531964,53/54,16/18,high_need_seconds_frac>=0.417
gate,high:claude_vlm_specificity_norm|low:strict_all4_80adqa_20clip,0.9536276770974857,0.879180490900268,53/54,17/18,mean_need>=0.378
gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.9536005712850789,0.8796814389174562,54/54,16/18,high_need_seconds_frac>=0.373
soft_gate,high:vlm_best_dims_mean|low:all4_mean,0.9535073921461822,0.8748897637790901,54/54,17/18,weight=tribe_pressure
gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.9534761638170636,0.8812670578243237,54/54,17/18,mean_speech_density>=1.000
gate,high:claude_vlm_completeness_norm|low:claude_vlm_listener_utility_norm,0.9534476444359876,0.8822897832613986,54/54,15/18,mean_need>=0.374
gate,high:claude_vlm_completeness_norm|low:claude_vlm_listener_utility_norm,0.9534476444359876,0.8822897832613986,54/54,15/18,mean_need>=0.378
gate,high:claude_vlm_completeness_norm|low:claude_vlm_listener_utility_norm,0.9534476444359876,0.8822897832613986,54/54,15/18,tribe_pressure>=0.484
gate,high:claude_vlm_completeness_norm|low:claude_vlm_listener_utility_norm,0.953439732762459,0.8820935226020334,54/54,15/18,tribe_pressure>=0.522
gate,high:strict_all4_80adqa_20clip|low:vlm_best_dims_mean,0.9534288131769622,0.8802946785611655,54/54,16/18,mean_need>=0.549
gate,high:strict_all4_80adqa_20clip|low:vlm_best_dims_mean,0.9534288131769622,0.8802946785611655,54/54,16/18,high_need_seconds_frac>=0.759
gate,high:strict_all4_80adqa_20clip|low:vlm_best_dims_mean,0.9534288131769622,0.8802946785611655,54/54,16/18,tribe_pressure>=0.919
soft_gate,high:claude_vlm_specificity_norm|low:gpt_vlm_completeness_norm,0.9534288131769622,0.8802946785611655,53/54,15/18,weight=mean_need
soft_gate,high:strict_all4_80adqa_20clip|low:claude_vlm_specificity_norm,0.9534109413713724,0.8698900837260689,54/54,17/18,weight=tribe_pressure
gate,high:claude_vlm_specificity_norm|low:strict_all4_80adqa_20clip,0.9534002506738141,0.8772599617969725,53/54,17/18,high_need_seconds_frac>=0.550
gate,high:claude_vlm_specificity_norm|low:strict_all4_80adqa_20clip,0.9534002506738141,0.8772599617969725,53/54,17/18,tribe_pressure>=0.609
gate,high:claude_vlm_specificity_norm|low:claude_vlm_completeness_norm,0.9533180499036582,0.8843732962493058,53/54,16/18,mean_need>=0.393
gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.9532819032085352,0.8790137039085081,54/54,16/18,mean_speech_density>=0.682
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_specificity_norm,0.9532740307988021,0.8788210855860664,54/54,17/18,high_need_seconds_frac>=0.727
gate,high:claude_vlm_specificity_norm|low:claude_vlm_listener_utility_norm,0.9532626596295801,0.8835826181330291,53/54,15/18,extended_seconds_frac>=0.364
gate,high:claude_vlm_completeness_norm|low:gpt_vlm_completeness_norm,0.9532547475214171,0.8837800888290095,54/54,16/18,high_need_seconds_frac>=0.417
gate,high:claude_vlm_completeness_norm|low:gpt_vlm_listener_utility_norm,0.953246835610263,0.8837800888290095,54/54,16/18,mean_speech_density>=0.874
gate,high:vlm_best_dims_mean|low:selected3_mean,0.9532307451911777,0.8771756903613731,54/54,17/18,mean_need>=0.393
gate,high:vlm_best_dims_mean|low:selected3_mean,0.9532307451911777,0.8771756903613731,54/54,17/18,mean_need>=0.487
gate,high:vlm_best_dims_mean|low:selected3_mean,0.9532307451911777,0.8771756903613731,54/54,17/18,extended_seconds_frac>=0.628
gate,high:vlm_best_dims_mean|low:selected3_mean,0.9532307451911777,0.8771756903613731,54/54,17/18,extended_seconds_frac>=0.727
gate,high:vlm_best_dims_mean|low:selected3_mean,0.9532307451911777,0.8771756903613731,54/54,17/18,tribe_pressure>=0.710
soft_gate,high:selected3_mean|low:vlm_best_dims_mean,0.9532307451911777,0.8771756903613731,54/54,16/18,weight=extended_seconds_frac
gate,high:selected3_mean|low:claude_vlm_specificity_norm,0.9532044562884663,0.8813748417032826,53/54,15/18,mean_need>=0.487
gate,high:selected3_mean|low:claude_vlm_specificity_norm,0.9532044562884663,0.8813748417032826,53/54,15/18,tribe_pressure>=0.710
gate,high:claude_vlm_completeness_norm|low:claude_vlm_listener_utility_norm,0.9531835474123702,0.8825972463330869,54/54,15/18,mean_speech_density>=0.682
gate,high:claude_vlm_listener_utility_norm|low:claude_vlm_specificity_norm,0.9531677273324141,0.8824005672785373,53/54,15/18,mean_need>=0.393
soft_gate,high:strict_all4_80adqa_20clip|low:vlm_best_dims_mean,0.9531589224293576,0.8706144625714013,54/54,17/18,weight=mean_need
soft_gate,high:claude_vlm_specificity_norm|low:gpt_vlm_listener_utility_norm,0.9531571160070248,0.8805955534503772,53/54,14/18,weight=mean_speech_density
gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.9531413374805577,0.8802066836793943,54/54,17/18,mean_need>=0.487
gate,high:claude_vlm_completeness_norm|low:selected3_mean,0.9531413374805577,0.8802066836793943,54/54,17/18,tribe_pressure>=0.710
gate,high:vlm_best_dims_mean|low:gpt_vlm_listener_utility_norm,0.9529711156317227,0.8783463038002285,54/54,15/18,mean_speech_density>=0.682
gate,high:vlm_best_dims_mean|low:claude_vlm_listener_utility_norm,0.9529632459185203,0.8781539160410924,54/54,15/18,tribe_pressure>=0.522
soft_gate,high:claude_vlm_listener_utility_norm|low:gpt_vlm_completeness_norm,0.9529632459185203,0.8781539160410924,53/54,15/18,weight=extended_seconds_frac
soft_gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.9529632459185203,0.8781539160410924,54/54,17/18,weight=tribe_pressure
soft_gate,high:claude_vlm_listener_utility_norm|low:claude_vlm_completeness_norm,0.9529632459185203,0.8781539160410924,53/54,15/18,weight=tribe_pressure
soft_gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.9529632459185203,0.8781539160410924,54/54,16/18,weight=mean_speech_density
soft_gate,high:vlm_best_dims_mean|low:gpt_vlm_listener_utility_norm,0.9529632459185203,0.8781539160410924,54/54,15/18,weight=mean_speech_density
soft_gate,high:vlm_best_dims_mean|low:claude_vlm_listener_utility_norm,0.9529632459185203,0.8781539160410924,54/54,16/18,weight=mean_speech_density
gate,high:claude_vlm_specificity_norm|low:gpt_vlm_completeness_norm,0.9529589760807972,0.8833005554113054,53/54,16/18,mean_speech_density>=0.874
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.9529589760807972,0.8833005554113054,53/54,16/18,mean_speech_density>=1.000
gate,high:claude_vlm_specificity_norm|low:claude_vlm_listener_utility_norm,0.9529352479088857,0.8827088613254283,53/54,15/18,mean_need>=0.374
gate,high:claude_vlm_specificity_norm|low:claude_vlm_listener_utility_norm,0.9529352479088857,0.8827088613254283,53/54,15/18,tribe_pressure>=0.484
gate,high:claude_vlm_specificity_norm|low:claude_vlm_listener_utility_norm,0.9529352479088857,0.8827088613254283,53/54,15/18,tribe_pressure>=0.522
gate,high:claude_vlm_completeness_norm|low:gpt_vlm_completeness_norm,0.9529084226793093,0.8853974498053063,54/54,17/18,mean_need>=0.549
gate,high:claude_vlm_completeness_norm|low:gpt_vlm_completeness_norm,0.9529084226793093,0.8853974498053063,54/54,17/18,high_need_seconds_frac>=0.759
gate,high:claude_vlm_completeness_norm|low:gpt_vlm_completeness_norm,0.9529084226793093,0.8853974498053063,54/54,17/18,tribe_pressure>=0.919
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.952895704894187,0.8825118940438675,54/54,16/18,max_need>=0.624
gate,high:claude_vlm_completeness_norm|low:claude_vlm_specificity_norm,0.952895704894187,0.8825118940438675,54/54,16/18,max_need>=0.641
gate,high:claude_vlm_listener_utility_norm|low:claude_vlm_completeness_norm,0.9528561668017123,0.8817253413973623,53/54,15/18,mean_speech_density>=1.000
gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9528380790212894,0.8797301234824915,53/54,17/18,mean_need>=0.487
gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9528380790212894,0.8797301234824915,53/54,17/18,tribe_pressure>=0.710
gate,high:all4_mean|low:vlm_best_dims_mean,0.9528166336304404,0.8807451016930943,54/54,16/18,max_need>=0.771
gate,high:selected3_mean|low:vlm_best_dims_mean,0.9528166336304404,0.8807451016930943,54/54,16/18,max_need>=0.771
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_specificity_norm,0.9527311451756775,0.8790278845644197,54/54,16/18,mean_need>=0.487
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_specificity_norm,0.9527311451756775,0.8790278845644197,54/54,16/18,tribe_pressure>=0.710
gate,high:gpt_vlm_completeness_norm|low:claude_vlm_completeness_norm,0.9526631997959041,0.8830184107097611,53/54,16/18,mean_need>=0.487
gate,high:claude_vlm_completeness_norm|low:gpt_vlm_listener_utility_norm,0.9526631997959041,0.8830184107097611,54/54,16/18,high_need_seconds_frac>=0.373
gate,high:gpt_vlm_completeness_norm|low:claude_vlm_completeness_norm,0.9526631997959041,0.8830184107097611,53/54,16/18,tribe_pressure>=0.710
gate,high:claude_vlm_completeness_norm|low:gpt_vlm_listener_utility_norm,0.9526552925320143,0.8830184107097611,54/54,15/18,mean_speech_density>=0.682
soft_gate,high:selected3_mean|low:vlm_best_dims_mean,0.9526333706843643,0.8764201509570007,53/54,15/18,weight=high_need_seconds_frac
gate,high:strict_all4_80adqa_20clip|low:vlm_best_dims_mean,0.9526255193212149,0.876229438268211,54/54,16/18,max_need>=0.730
soft_gate,high:selected3_mean|low:claude_vlm_listener_utility_norm,0.9526255193212149,0.876229438268211,54/54,16/18,weight=mean_need
soft_gate,high:claude_vlm_listener_utility_norm|low:all4_mean,0.9526255193212149,0.876229438268211,54/54,17/18,weight=high_need_seconds_frac
gate,high:claude_vlm_listener_utility_norm|low:claude_vlm_specificity_norm,0.9526078530831124,0.8822296491314404,53/54,15/18,mean_need>=0.487
gate,high:claude_vlm_listener_utility_norm|low:claude_vlm_specificity_norm,0.9526078530831124,0.8822296491314404,53/54,15/18,tribe_pressure>=0.710
gate,high:selected3_mean|low:claude_vlm_specificity_norm,0.9525978992052412,0.8804204563847083,53/54,16/18,mean_need>=0.549
gate,high:selected3_mean|low:claude_vlm_specificity_norm,0.9525978992052412,0.8804204563847083,53/54,16/18,high_need_seconds_frac>=0.759
gate,high:selected3_mean|low:claude_vlm_specificity_norm,0.9525978992052412,0.8804204563847083,53/54,16/18,tribe_pressure>=0.919
gate,high:selected3_mean|low:claude_vlm_specificity_norm,0.9525663583172381,0.8798364294836999,53/54,16/18,extended_seconds_frac>=0.628
gate,high:selected3_mean|low:claude_vlm_specificity_norm,0.9525663583172381,0.8798364294836999,53/54,16/18,extended_seconds_frac>=0.727
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_completeness_norm,0.9525505890480637,0.8796420119739826,54/54,16/18,mean_need>=0.549
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_completeness_norm,0.9525505890480637,0.8796420119739826,54/54,16/18,high_need_seconds_frac>=0.759
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_completeness_norm,0.9525505890480637,0.8796420119739826,54/54,16/18,tribe_pressure>=0.919
gate,high:all4_mean|low:claude_vlm_specificity_norm,0.952534820562021,0.8792535632855887,53/54,15/18,mean_need>=0.393
gate,high:claude_vlm_completeness_norm|low:gpt_vlm_completeness_norm,0.9524069463198063,0.8835271663630851,54/54,17/18,mean_speech_density>=1.000
soft_gate,high:selected3_mean|low:claude_vlm_completeness_norm,0.9523652852975638,0.8783463038002285,53/54,15/18,weight=high_need_seconds_frac
gate,high:vlm_best_dims_mean|low:gpt_vlm_listener_utility_norm,0.9523652852975638,0.8773967402285525,54/54,16/18,mean_speech_density>=0.874
gate,high:vlm_best_dims_mean|low:claude_vlm_listener_utility_norm,0.952357420587358,0.877204560456183,54/54,15/18,mean_need>=0.374
gate,high:vlm_best_dims_mean|low:claude_vlm_listener_utility_norm,0.952357420587358,0.877204560456183,54/54,15/18,mean_need>=0.378
gate,high:vlm_best_dims_mean|low:claude_vlm_listener_utility_norm,0.952357420587358,0.877204560456183,54/54,15/18,tribe_pressure>=0.484
soft_gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.952357420587358,0.877204560456183,54/54,17/18,weight=mean_need
soft_gate,high:selected3_mean|low:claude_vlm_listener_utility_norm,0.952357420587358,0.877204560456183,53/54,14/18,weight=max_need
soft_gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.952357420587358,0.877204560456183,53/54,16/18,weight=max_need
gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9523041846568825,0.8813570617508271,53/54,17/18,high_need_seconds_frac>=0.417
gate,high:strict_all4_80adqa_20clip|low:claude_vlm_completeness_norm,0.952298891015452,0.8730082804161244,54/54,17/18,max_need>=0.624
gate,high:gpt_vlm_completeness_norm|low:strict_all4_80adqa_20clip,0.9522847760416325,0.87651187316206,53/54,16/18,mean_speech_density>=0.874
gate,high:claude_vlm_listener_utility_norm|low:claude_vlm_completeness_norm,0.9522409632411151,0.880571888266016,53/54,15/18,mean_need>=0.549
gate,high:claude_vlm_listener_utility_norm|low:claude_vlm_completeness_norm,0.9522409632411151,0.880571888266016,53/54,15/18,high_need_seconds_frac>=0.759
gate,high:claude_vlm_listener_utility_norm|low:claude_vlm_completeness_norm,0.9522409632411151,0.880571888266016,53/54,15/18,tribe_pressure>=0.919
gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9522315621027527,0.8787770030886859,53/54,16/18,mean_need>=0.549
gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9522315621027527,0.8787770030886859,53/54,16/18,high_need_seconds_frac>=0.759
gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9522315621027527,0.8787770030886859,53/54,16/18,tribe_pressure>=0.919
soft_gate,high:claude_vlm_listener_utility_norm|low:claude_vlm_specificity_norm,0.9522236806633979,0.8785830767919214,53/54,15/18,weight=tribe_pressure
soft_gate,high:strict_all4_80adqa_20clip|low:vlm_best_dims_mean,0.9522048554240335,0.8680253675766025,54/54,16/18,weight=tribe_pressure
gate,high:claude_vlm_completeness_norm|low:gpt_vlm_completeness_norm,0.952174384613519,0.8832449589621055,54/54,16/18,extended_seconds_frac>=0.477
gate,high:claude_vlm_specificity_norm|low:gpt_vlm_completeness_norm,0.952103245125189,0.8826514467712436,53/54,15/18,mean_speech_density>=0.682
gate,high:vlm_best_dims_mean|low:selected3_mean,0.9520202934512523,0.8752831861750487,54/54,17/18,high_need_seconds_frac>=0.727
gate,high:claude_vlm_specificity_norm|low:all4_mean,0.9520071036985551,0.8794660710661341,53/54,17/18,high_need_seconds_frac>=0.417
gate,high:vlm_best_dims_mean|low:claude_vlm_specificity_norm,0.9519992228124282,0.8792714773982878,53/54,16/18,mean_speech_density>=1.000
gate,high:all4_mean|low:claude_vlm_specificity_norm,0.951991342122016,0.8794660710661341,53/54,15/18,mean_need>=0.487
gate,high:all4_mean|low:claude_vlm_specificity_norm,0.951991342122016,0.8794660710661341,53/54,15/18,tribe_pressure>=0.710
soft_gate,high:claude_vlm_completeness_norm|low:gpt_vlm_listener_utility_norm,0.9519531141086709,0.880289306639386,54/54,16/18,weight=mean_speech_density
gate,high:claude_vlm_completeness_norm|low:claude_vlm_listener_utility_norm,0.9519294157028092,0.8798974573848765,54/54,15/18,high_need_seconds_frac>=0.550
gate,high:claude_vlm_completeness_norm|low:claude_vlm_listener_utility_norm,0.9519294157028092,0.8798974573848765,54/54,15/18,tribe_pressure>=0.609
soft_gate,high:vlm_best_dims_mean|low:strict_all4_80adqa_20clip,0.9519244928145341,0.8665621969323746,54/54,17/18,weight=mean_need
soft_gate,high:vlm_best_dims_mean|low:selected3_mean,0.9518022049476565,0.8745158489195802,54/54,17/18,weight=max_need
soft_gate,high:all4_mean|low:vlm_best_dims_mean,0.9518022049476565,0.8735724661267869,54/54,16/18,weight=tribe_pressure
gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.9517830352534046,0.876831499050553,54/54,16/18,high_need_seconds_frac>=0.417
gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.9517673148653376,0.8766392746705056,54/54,16/18,mean_need>=0.378
gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.9517631227342319,0.879447723288681,54/54,17/18,extended_seconds_frac>=0.628
gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.9517631227342319,0.879447723288681,54/54,17/18,extended_seconds_frac>=0.727
soft_gate,high:selected3_mean|low:claude_vlm_completeness_norm,0.9517515952561955,0.877204560456183,54/54,16/18,weight=extended_seconds_frac
gate,high:strict_all4_80adqa_20clip|low:vlm_best_dims_mean,0.9517515952561955,0.8762552048712738,54/54,16/18,high_need_seconds_frac>=0.727
gate,high:vlm_best_dims_mean|low:claude_vlm_listener_utility_norm,0.9517515952561955,0.8762552048712738,54/54,15/18,extended_seconds_frac>=0.364
soft_gate,high:claude_vlm_completeness_norm|low:claude_vlm_listener_utility_norm,0.9517515952561955,0.8762552048712738,53/54,15/18,weight=mean_need
soft_gate,high:claude_vlm_listener_utility_norm|low:vlm_best_dims_mean,0.9517515952561955,0.8762552048712738,53/54,15/18,weight=high_need_seconds_frac
soft_gate,high:claude_vlm_listener_utility_norm|low:vlm_best_dims_mean,0.9517515952561955,0.8762552048712738,53/54,15/18,weight=tribe_pressure
gate,high:claude_vlm_specificity_norm|low:claude_vlm_listener_utility_norm,0.9517205439599896,0.8807920125494771,53/54,15/18,mean_need>=0.378
gate,high:claude_vlm_completeness_norm|low:claude_vlm_listener_utility_norm,0.951665255683456,0.8802027882583905,54/54,15/18,mean_speech_density>=0.874
gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9516486756157155,0.8782116997593908,53/54,16/18,extended_seconds_frac>=0.628
gate,high:claude_vlm_specificity_norm|low:selected3_mean,0.9516486756157155,0.8782116997593908,53/54,16/18,extended_seconds_frac>=0.727
gate,high:claude_vlm_completeness_norm|low:claude_vlm_listener_utility_norm,0.9516415636572869,0.8798106283867272,54/54,15/18,extended_seconds_frac>=0.364
gate,high:claude_vlm_listener_utility_norm|low:claude_vlm_completeness_norm,0.9516336667084356,0.879614744909205,53/54,15/18,mean_need>=0.487
gate,high:claude_vlm_listener_utility_norm|low:claude_vlm_completeness_norm,0.9516336667084356,0.879614744909205,53/54,15/18,tribe_pressure>=0.710
soft_gate,high:claude_vlm_specificity_norm|low:claude_vlm_listener_utility_norm,0.9516257699561737,0.879418992209572,53/54,15/18,weight=mean_speech_density
gate,high:claude_vlm_listener_utility_norm|low:vlm_best_dims_mean,0.9516250451842159,0.8778238826948804,53/54,15/18,mean_speech_density>=1.000
gate,high:vlm_best_dims_mean|low:gpt_vlm_completeness_norm,0.9516215860953747,0.8780912976575215,54/54,17/18,high_need_seconds_frac>=0.727
