clip_idx,tier,gt,objectivity,clarity,descriptiveness,timing_fit,delivery,accuracy_proxy,six_dim_mean
12,tier0_cross,0,1.0,0.8181818181818181,0.25,1.0,0.7,0.25,0.6696969696969698
12,tier1_vatex_short,1,1.0,0.8925619834710744,0.0,0.275,0.7,0.0,0.4779269972451791
12,tier2_vatex_long,2,1.0,0.7363636363636363,0.25,0.5,0.7,0.25,0.5727272727272728
12,tier3_va11y,3,1.0,0.8380681818181819,0.25,0.4,0.7,0.25,0.5730113636363635
15,tier0_cross,0,1.0,0.9696969696969696,0.0,0.8357142857142857,0.7,0.0,0.5842352092352092
15,tier1_vatex_short,1,1.0,0.6942148760330579,0.0,0.23571428571428577,0.7,0.0,0.43832152695789056
15,tier2_vatex_long,2,1.0,0.6694214876033058,0.0,0.4714285714285714,0.7,0.0,0.47347500983864615
15,tier3_va11y,3,1.0,0.8128342245989305,0.25,0.907142857142857,0.7,0.25,0.6533295136236313
11,tier0_cross,0,1.0,0.8181818181818181,0.25,0.7999999999999998,0.7,0.25,0.6363636363636364
11,tier1_vatex_short,1,1.0,0.6727272727272728,0.0,0.30000000000000004,0.7,0.0,0.4454545454545455
11,tier2_vatex_long,2,1.0,0.7272727272727273,0.0,0.9900000000000001,0.7,0.0,0.5695454545454545
11,tier3_va11y,3,1.0,0.8801054018445323,0.5,0.0,0.7,0.5,0.5966842336407554
4,tier0_cross,0,1.0,0.9402597402597404,0.5,0.8863636363636364,0.7,0.5,0.7544372294372295
4,tier1_vatex_short,1,1.0,0.8,0.0,0.31818181818181823,0.7,0.0,0.4696969696969697
4,tier2_vatex_long,2,1.0,0.7058823529411764,0.0,0.540909090909091,0.7,0.0,0.49113190730837797
4,tier3_va11y,3,1.0,0.8393524283935243,0.25,0.0,0.7,0.25,0.5065587380655874
3,tier0_cross,0,1.0,0.9402597402597404,0.5,0.6874999999999999,1.0,0.5,0.7712932900432902
3,tier1_vatex_short,1,1.0,0.6433566433566433,0.0,0.48750000000000004,1.0,0.0,0.5218094405594406
3,tier2_vatex_long,2,1.0,0.6507177033492824,0.0,0.7125000000000001,1.0,0.0,0.5605362838915471
3,tier3_va11y,3,1.0,0.7777777777777778,0.25,0.0,0.4571428571428572,0.25,0.45582010582010585
