bucket,rho,p,n
static,0.6863458538194559,2.8423779624538647e-11,72
motion,0.7745966692414834,0.22540333075851665,4
holistic,0.6956969060147367,1.180635594296399e-11,72
other,0.4077084468513556,0.006013217455542417,44
