bucket,rho,p,n,n_questions
VA,0.7970288463203736,5.528343757942551e-17,72,4.0
NU,,,0,
mixed,0.5163977794943223,0.19011614915973787,8,4.0
all,0.7888337624146254,1.90138953558368e-16,72,4.0
