clip_key,corpus,clip_idx,video_id,category,window_idx,start_s,end_s,scene_spatial_gap,agent_action_gap,control_gap,mean_visual_gap,peak_visual_gap,dominant_type,dominance_margin,visual_minus_control,raw_trs,route
external_0m0-Q0zz_-c_000112_000122,external,,0m0-Q0zz_-c_000112_000122,How-to & Instructional,0,0.0,3.6363636363636362,0.3956447708532257,0.2906180697525506,0.15401896439027576,0.3956447708532257,1.0014171641982383,scene_spatial,0.10502670110067508,0.24162580646294993,4,layout_replay_or_scene_cue
external_0m0-Q0zz_-c_000112_000122,external,,0m0-Q0zz_-c_000112_000122,How-to & Instructional,1,3.6363636363636362,6.363636363636363,0.16169275506616568,0.03261623229363623,0.02526114144228379,0.16169275506616568,0.2161580298472604,scene_spatial,0.12907652277252946,0.1364316136238819,3,static_ad_ok_low_gap
external_0m0-Q0zz_-c_000112_000122,external,,0m0-Q0zz_-c_000112_000122,How-to & Instructional,2,6.363636363636363,9.09090909090909,0.2125510775328082,0.025405053480576128,0.01973473920103667,0.2125510775328082,0.32136438711815973,scene_spatial,0.18714602405223207,0.19281633833177153,3,layout_replay_or_scene_cue
external_0m0-Q0zz_-c_000112_000122,external,,0m0-Q0zz_-c_000112_000122,How-to & Instructional,3,9.09090909090909,10.0,0.1883293467055568,0.23713074459983707,0.06869802880253195,0.23713074459983707,0.23713074459983707,agent_action,0.048801397894280285,0.16843271579730512,1,static_ad_ok_low_gap
external_0t0DB1B1w8Y_000000_000010,external,,0t0DB1B1w8Y_000000_000010,Sports,0,0.0,3.3333333333333335,0.016945195860612328,0.009899590600364327,0.016134463787545683,0.016945195860612328,0.020078064620308922,scene_spatial,0.007045605260248,0.0008107320730666445,2,static_ad_ok_low_gap
external_0t0DB1B1w8Y_000000_000010,external,,0t0DB1B1w8Y_000000_000010,Sports,1,3.3333333333333335,6.666666666666667,0.030460579827119305,0.01261403161402308,0.05613969171879646,0.030460579827119305,0.046055872711539325,scene_spatial,0.017846548213096225,-0.025679111891677153,2,static_ad_ok_low_gap
external_0t0DB1B1w8Y_000000_000010,external,,0t0DB1B1w8Y_000000_000010,Sports,2,6.666666666666667,10.0,0.036666624642427426,0.036707039296596966,0.09994832421473177,0.05076984199756157,0.05543514813754713,agent_action,4.041465416954049e-05,-0.0632412849181348,2,static_ad_ok_low_gap
external_1-jIze6gy0g_000026_000036,external,,1-jIze6gy0g_000026_000036,How-to & Instructional,0,0.0,3.0,0.19562251341516476,0.05620973938812812,0.008532671788755608,0.19562251341516476,0.26159936135402495,scene_spatial,0.13941277402703664,0.18708984162640915,3,static_ad_ok_low_gap
external_1-jIze6gy0g_000026_000036,external,,1-jIze6gy0g_000026_000036,How-to & Instructional,1,3.0,6.0,0.040925607305809554,0.03214032570981599,0.022650583904583077,0.040925607305809554,0.0433865824305667,scene_spatial,0.008785281595993566,0.018275023401226477,3,static_ad_ok_low_gap
external_1-jIze6gy0g_000026_000036,external,,1-jIze6gy0g_000026_000036,How-to & Instructional,2,6.0,9.0,0.3194069329335268,0.05811296193085732,0.08698790245130283,0.3194069329335268,0.595758704526796,scene_spatial,0.2612939710026695,0.23241903048222395,3,layout_replay_or_scene_cue
