video_id,condition,adqa,n_q
iZP6gjlr_nM_000113_000123,gap_targeted,0.1,5
iZP6gjlr_nM_000113_000123,baseline,0.1,5
j4CKRgv3jUg_000000_000010,baseline,0.4,5
j4CKRgv3jUg_000000_000010,gap_targeted,0.5,5
j6CgiNeWQwM_000842_000852,baseline,0.1,5
j6CgiNeWQwM_000842_000852,gap_targeted,0.3,5
jeweRSnAJeo_000050_000060,gap_targeted,0.6,5
jeweRSnAJeo_000050_000060,baseline,0.2,5
lgJywzzdUC8_000000_000010,baseline,0.6,5
lgJywzzdUC8_000000_000010,gap_targeted,0.5,5
rGQ64NXktF8_000006_000016,gap_targeted,0.1,5
rGQ64NXktF8_000006_000016,baseline,0.0,5
u-olDM7oGGM_000012_000022,baseline,0.3,5
u-olDM7oGGM_000012_000022,gap_targeted,0.2,5
v2Hr1CH-yb0_000076_000086,baseline,0.1,5
v2Hr1CH-yb0_000076_000086,gap_targeted,0.2,5
wbOD_G3ttgU_000083_000093,gap_targeted,0.6,5
wbOD_G3ttgU_000083_000093,baseline,0.5,5
xW6hpK-DBMY_000080_000090,baseline,0.0,5
xW6hpK-DBMY_000080_000090,gap_targeted,0.3,5
yBO8rAMeqjc_000007_000017,baseline,0.2,5
yBO8rAMeqjc_000007_000017,gap_targeted,0.2,5
zTJ0Zbv1jBo_000045_000055,gap_targeted,0.3,5
zTJ0Zbv1jBo_000045_000055,baseline,0.2,5
