model,inbench_rho,inbench_t3_wins,external_rho,external_t3_wins,combined_rho,combined_t3_wins
SceneTwin ensemble (CLIP+ADQA),0.929,54/54,0.873,173/180,0.886,227/234
anthropic/claude-sonnet-4-6,0.7129278683370317,44/54,0.7145600743447396,151/180,0.7127190579386796,195/234
gemini/gemini-2.5-pro,0.7558201909992219,43/54,0.7340539454267351,155/180,0.7357767686610538,198/234
openai/gpt-5,0.7267960139649384,45/54,0.7394706423427267,161/180,0.7354245632920862,206/234
