clip_key,corpus,category,clos_auditory_control,clos_body_eba_region,clos_early_visual_v1,clos_face_ffc,clos_higher_visual_v2v3v4,clos_language_control,clos_lateral_object_loc,clos_motion_mt_complex,clos_retrosplenial_pos,clos_scene_ppa
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,Food & Cooking,-7.257061844053434,-4.097182876694655,0.37505352660515323,-1.6008879115634276,0.09933021252712196,-2.5483032006856026,-2.410135703127732,-2.1590314019783685,-0.19469458798009173,0.0818313501147981
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,Food & Cooking,-10.763092435744504,-2.5413639613946857,-0.12473730110297378,-9.622419738525615,-2.668985923972668,-4.704674600295654,-5.07679309862078,-3.7368001537917706,0.3441396333356836,0.2300083859393428
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,Food & Cooking,-0.5548533046367534,-0.7056622631437818,-2.91460794541276,0.2889564462886681,-1.5300618062822064,-1.0881913947814001,-2.376863722321127,-0.38099060194626466,-8.362193799716032,0.4595611073684178
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,Food & Cooking,-3.0470250330074253,-1.7610876548924874,0.24949101737259666,0.0899306801904377,-0.68221827735127,-1.8771622888086221,-5.2590316544328015,0.15492338360414654,0.028293269075456397,0.619661238330487
inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,Food & Cooking,-0.27421561824345164,-0.04746879752691973,-2.395402509194254,0.5329489973131071,-0.12473118026509819,-1.9413537962734821,-1.0800744095115122,-0.1217413303123179,-2.7099840297247835,-0.7033268184054814
inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,Travel,-18.850628295039343,-5.693165022185121,-1.9501722313398353,-1.8104317397744245,-7.919956567639762,-10.066528559121728,-9.446116653470314,-12.55420379140957,-0.0168662270051709,0.6889739092166003
inbench_clip_07_09dQut5GJ68_000049_000059,inbench,Travel,-9.8104552481079,-2.192063850873407,-0.7312289613448045,-3.7732574001748693,-4.27000884038712,-8.963639421775392,-4.740679282135754,-0.4625583938614139,-0.7221427740964225,0.2577008760300288
inbench_clip_08_hOirknJr3os_000001_000011,inbench,Travel,-6.028148052599376,-6.778982497619837,0.05187700565910934,-0.3140127045619195,-1.9320752950906783,-5.8349547083867614,-12.153823761292472,-3.9478377439009527,0.43316975763938825,0.8148985530633064
inbench_clip_09_TF4q9y0rJoc_000000_000010,inbench,Sports,-32.76214400413515,-1.8493418808014574,-0.595726738897742,-1.886123061016651,-2.933485164089956,-29.32821824507748,-1.9790507222379414,-7.3432748953095155,-4.636370545279139,-2.8187790529166543
inbench_clip_11_z8Q-s8AthrA_000002_000012,inbench,Sports,-31.783934667044353,0.43061906324702787,-4.516744728669723,0.644542224188624,-3.6458105405647356,-30.471396238126324,-0.9755083974486174,0.3260318144643129,-10.663125006142716,0.8617460087478548
inbench_clip_12_abaLFY_GI8k_000295_000305,inbench,Sports,-2.13834299920356,-0.46496428998582506,0.1998583963124799,0.4808077438177794,-0.5539871628861442,-2.7804442386953916,-0.8274908072868998,-0.39238641633024146,-0.27688669956498557,0.9380775937658733
inbench_clip_13_KFcH6BYZWhc_000011_000021,inbench,Sports,-17.489278051174296,-1.3262792800597678,-1.1082052878305417,-3.0426569197134836,-4.346529500886658,-16.89370869738572,-2.500100824323437,-2.6418942137757133,-2.921513552488186,-0.18957788087529812
inbench_clip_14_UDD6YcChywc_000000_000010,inbench,Sports,-5.835291953125793,-3.6304070966261524,0.011312189974892623,-0.601746920301736,-0.5935383743062026,-11.90671252652429,-5.487069427152301,-6.602017155272591,0.17780536632841468,0.7176915946996525
inbench_clip_15_OGWuj_FtaQc_000010_000020,inbench,Pets & Animals,-94.71131366634792,-14.324105953807805,0.16664777722160798,-5.655260254345629,-8.140287038214451,-37.58335589473363,-28.742839525760424,-13.569981489425345,0.10397577392890589,0.4744252500514238
inbench_clip_16_kOf-vl-GmVI_000115_000125,inbench,Pets & Animals,-12.572301909113113,-0.4363246256777541,0.4932006427403157,-1.0843000665676967,-0.612835423493131,-46.212172521906176,-2.265842722270805,-0.04429011278606461,-2.128484008161168,-1.9439414638291643
inbench_clip_17_gjoZic4WjiQ_000012_000022,inbench,Pets & Animals,-2.758984101154409,-7.556460047955315,0.2625907269154379,-3.130147200167939,-3.642397824946572,-2.4505870090341073,-15.976067285373583,-8.65034379734992,-4.228823033300673,0.19295078305364335
inbench_clip_18_q2ZBVyR1k-U_000021_000031,inbench,Pets & Animals,-1.738841744525581,-4.8613233836086565,-0.3545828868531045,-2.8800908172110167,-1.831240930051333,-0.23008672755099197,-4.894610783867699,-2.305200990289755,0.22583384404370113,-0.6041264663267385
inbench_clip_19_qIWQHyOIpEY_000003_000013,inbench,Pets & Animals,-34.278580695417745,0.2862853668936435,-2.3112812329404133,0.11048316847189857,-1.2251728389156908,-53.41074545692941,-1.1577688396564882,-0.6137864538046586,-6.859428145640758,0.47337216998705833
external_0m0-Q0zz_-c_000112_000122,external,How-to & Instructional,-2.172278214940433,-0.15837744319251026,-0.11002760941697347,-0.5729872550624672,-0.6736301309983239,-2.080712141079695,-0.4170190804479108,-1.6708002969104907,-3.229505367365728,-13.729015174697503
external_0t0DB1B1w8Y_000000_000010,external,Sports,-77.6331897970975,-8.8938613826318,-1.7271619489723005,-10.56823925461935,-12.811566116640817,-59.99223045521947,-19.582273820800108,-9.686429818435583,-7.166293463930546,-7.343813169226421
external_1-jIze6gy0g_000026_000036,external,How-to & Instructional,-153.49199035363515,-5.0550452747706816,-1.8302951219264072,-5.6706960794398515,-1.319192147259432,-115.40529524108433,-5.8116642742174,-8.017894156027953,-0.9358930588856053,-1.113943090404379
external_1HUWWCLza0w_000000_000010,external,Sports,-2.6908576775432125,-2.4745205436623228,-0.1399815283011284,-0.7840741219586037,-0.6209104976365416,-3.992879129823522,-1.9108169167145934,-3.9679754151226345,-9.599911592937417,-1.1589436080637325
external_1YemrpNBpf4_000001_000011,external,Entertainment,-1.1314953622506483,-1.7814111778541462,0.3172903537700558,-0.3646921377657637,-0.12807019505132378,-1.084309041735087,-3.6597099780101803,-1.1141331774791765,-0.31045956591921575,-28.530633862721956
external_1kLhK8KfIEw_000020_000030,external,How-to & Instructional,-116.46116949291743,-0.8663340844179973,-5.224283918632878,-1.824552716905949,-4.235922429721716,-26.356372579678254,-0.0714169241218568,-1.3776133887797184,-0.13490219630900102,0.8351842029026563
external_21T1JDdJgsM_000047_000057,external,Entertainment,-19.93575446334284,-2.1727661545836523,-0.009185514352652946,-4.3776910558464746,-2.316451584681325,-58.21182759270753,-9.137215381002608,-0.8343965989738796,-14.978934260210991,-7.413670600676626
external_2kJxrcNRS9w_000047_000057,external,Sports,-15.891016384791017,-4.122709518712156,-0.141352157956244,-4.790460474684572,-0.45090419108304514,-26.279134682645857,-5.282945388873829,-6.257979587307864,-6.446301165465489,-5.771905539778934
external_3su234u58DA_000172_000182,external,Entertainment,-5.265304297250524,-1.1628018489191874,-0.412973662715969,-3.200339406265507,-0.863655123851024,-9.166895203547336,-5.285977040097649,-0.8382071270212225,-3.743143870923937,-1.6928232872870774
external_3ufJNSez5Is_000008_000018,external,How-to & Instructional,-8.44325030084858,-12.017659010494247,-0.5672729815068867,-4.8144568142009305,-3.2724555755323452,-9.391755753232863,-8.313385802832673,-10.481633842423236,-2.093630120738007,0.2618758628020066
external_750QhTe9Z4U_000000_000010,external,People & Vlogs,-58.12501250654696,-2.94557457494326,-1.3405600960080735,-4.965130381954343,-4.179970315638517,-29.11337181315021,-13.803570717959339,-6.427832074154807,-2.140871578110484,-7.227535448090687
external_8vkNr_eysXY_000002_000012,external,How-to & Instructional,-3.9691785814234692,-0.17776172284072106,0.31440595236983004,-2.0392655235760198,0.07157193584719934,-4.63517305699967,-1.6274871941008333,-1.2307472929968786,0.7752349498566273,0.19664852671129815
external_9eBhetL8n5Q_000222_000232,external,People & Vlogs,-0.2581142626359691,-0.4081111003517589,-0.18320608000987734,0.2308534393755671,-0.8012812074668761,-2.001930423693052,-1.4463277244239794,-0.2783358017662229,0.0052963140696499645,-2.9411177255712633
external_9fuIpQgnNEQ_000049_000059,external,Event,-5.6381679928624715,-3.2640750519250754,-4.255302682327582,-9.391786017097738,-7.1604499024114805,-13.284222922581836,-8.70029986615629,-3.0709807242552185,-14.088755691385453,-7.826252343948979
external_A0e7Z55s8pE_000008_000018,external,How-to & Instructional,-1.3245700639695506,0.29057975720588836,-2.230860409361601,0.2939578729902779,-0.6744985866830128,-4.0300790278904515,-0.26003986575162763,-0.2691881215481355,-2.1495387373200088,0.8549590285934741
external_AEkLDauJVi0_000069_000079,external,Food & Cooking,-2.277576151565175,-0.7795710622316873,0.1629078535666032,0.22225929532821354,-0.7259831973596225,-2.600738884388729,-0.5318969076112486,-0.8282082232772274,0.4187987579510444,0.9044331252826534
external_BHxn3qfPAl4_000018_000028,external,Health & Wellness,-136.5976132309001,0.18124366182840945,-8.380066910543256,0.39236724980932713,-2.121458080707636,-17.739217973426314,-0.5882455372302287,0.7368324112471032,0.3599289693045878,-0.45982623347280066
external_BcW6Y7eufQE_000239_000249,external,People & Vlogs,-0.9200154504356155,-0.8892448837141268,0.0791233228111671,-0.07546358615937168,-0.3420565001389713,0.15199521448994957,-1.931001138846929,0.5263158608512589,-8.587170393321168,-1.378042193736148
external_Bss3WwpDdS8_000041_000051,external,People & Vlogs,-5.599439723908921,-3.599147071264407,-0.3224086895974026,-3.650796431948695,-0.8626982124763234,-12.455468906476261,-6.644573927448709,-1.4683964877839137,-6.820459361561066,-1.3462494512697754
external_Ccgwurislg8_000082_000092,external,How-to & Instructional,-25.223562427795482,-0.4728276038340361,-0.16691743129695097,-0.3191303698663751,-3.5752108114638013,-16.68374359099652,-4.061109740802023,0.34048748321258504,0.7428177250778866,-0.023256743565544528
external_D297atE3gag_000203_000213,external,How-to & Instructional,-0.47015210706383753,0.11972390406554113,0.3654207822360804,0.4897957258836467,0.21221679529173848,-1.1271581299273632,-0.3248700457403536,0.3788144225240092,-0.3086644787395573,0.7732795162052086
