metric,external_rho,external_p,external_t3_wins,external_fully_ordered,n_obs
multi_ref_r3,0.9483188494589198,1.236263694051985e-120,180/180,50/60,240
llm_ad_eval,0.8568785763654428,1.9665898151545225e-70,180/180,22/60,240
token_overlap,0.848654337255877,9.036950677029526e-68,180/180,24/60,240
critic_entity,0.6132810880035816,3.468429760733628e-26,175/180,2/60,240
word_count,0.3394225188814343,6.976527526741004e-08,176/180,0/60,240
coad_repetition_inv,-0.01056652492486028,0.870639835975273,26/180,0/60,240
