clip_key,corpus,category,accessibility_gap,auditory_control,body_eba_region,early_visual_v1,face_ffc,higher_visual_v2v3v4,language_control,lateral_object_loc,motion_mt_complex,retrosplenial_pos,scene_ppa
inbench_clip_00_Q76JRCyTnSc_000007_000017,inbench,Food & Cooking,0.16836341087619067,0.04497047902747908,0.025293004956257525,0.2353405577065345,0.028245205126492312,0.10919882548836835,0.08557095600693787,0.011670350621039605,0.015457272577246495,1.0028252419438664,0.8313449809175938
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,Food & Cooking,0.08463107648035506,0.0037653701672448747,0.03937373951242984,0.1664730649242061,0.011332415602740897,0.04476133892045364,0.018745030513433014,0.030808738809423475,0.019668752024981973,0.8922534582041873,0.6224891930496812
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,Food & Cooking,0.09844685606074888,0.055813414192536825,0.023464411018072506,0.09233658958311664,0.06913474763501726,0.050395604197235655,0.26108353564890985,0.015899358480766845,0.043883824865542764,0.025881172824139376,0.1745379856663658
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,Food & Cooking,0.2986524298433463,0.17250577283121948,0.04363409010985442,0.40659496895064606,0.10890571634486357,0.07325809242352876,0.30687161501244165,0.021449895186936074,0.07074199966820416,0.9363485551699978,0.7106943691540202
inbench_clip_05_PbGvLf7HvXQ_000063_000073,inbench,Food & Cooking,0.15166239091569766,0.06921850327594414,0.03656533236922743,0.03746586219342174,0.09145206528985761,0.06989571810727868,0.23848416205925493,0.023046028317747047,0.03083573889861324,0.06472885995376954,0.1487091892881669
inbench_clip_06_0HEi6q3bGaw_000011_000021,inbench,Travel,0.15769971883021694,0.0764089302695079,0.01677620885677822,0.0654521117822866,0.06689153206833498,0.021016650026631112,0.13505156990293088,0.01225844591871128,0.011335470183435059,0.4481885135275453,0.2385459344581211
inbench_clip_07_09dQut5GJ68_000049_000059,inbench,Travel,0.1831457757375946,0.11221506614319277,0.029150547494987022,0.5196143945162182,0.03918868852961077,0.04927850066061168,0.08544399645667689,0.01094135727781731,0.03404979918478801,0.4434065718727941,0.08915470159367134
inbench_clip_08_hOirknJr3os_000001_000011,inbench,Travel,0.1798257689921754,0.012201056346701877,0.0887758735656905,0.050237752981372896,0.10132062002301645,0.040268371593363717,0.09901957278915963,0.04806844373172936,0.07333230594061546,0.5294351022755315,1.0776588357404464
inbench_clip_09_TF4q9y0rJoc_000000_000010,inbench,Sports,0.17728451159853975,0.051610527234000836,0.03547402998680649,0.8118140106157203,0.10864687205130619,0.11596701265620868,0.05376023776532646,0.025581945228129177,0.014271454781642046,0.18566031558934892,0.023719172142310896
inbench_clip_11_z8Q-s8AthrA_000002_000012,inbench,Sports,0.10972697491725192,0.05079261602584795,0.09926342455782666,0.16832540259858741,0.21054636207848076,0.07204334077260799,0.040359317502614456,0.030248142719745963,0.07752631287160061,0.09336195442258732,0.8004324737393158
inbench_clip_12_abaLFY_GI8k_000295_000305,inbench,Sports,0.2719454709480146,0.19195319391638888,0.04196103951999086,0.16199360673569874,0.1298523923731959,0.06735130135186684,0.24535799339015107,0.02916335379371171,0.020502183211178138,0.37111545760535036,1.2173380793072606
inbench_clip_13_KFcH6BYZWhc_000011_000021,inbench,Sports,0.09130382412366711,0.05152771955061719,0.02349627184035752,0.03940454247503122,0.020182235024102213,0.015591062862200578,0.05968320966633189,0.0187085522994751,0.010848966338094401,0.19248769511809039,0.12544417961638643
inbench_clip_14_UDD6YcChywc_000000_000010,inbench,Sports,0.3433712825438816,0.2691973190905633,0.030426601810033316,0.8123432789368923,0.1378315821163627,0.17051379429684244,0.12395167106322913,0.01973350402823948,0.02010922941553195,0.6462154949754256,0.2813312135726316
inbench_clip_15_OGWuj_FtaQc_000010_000020,inbench,Pets & Animals,0.19226284953845307,0.020108711516746314,0.027360616913991498,0.21573611513138657,0.03798569790772599,0.027349291223106587,0.0428743035276975,0.014094488347484613,0.017760438564077052,0.4834840362157691,0.12221500476614555
inbench_clip_16_kOf-vl-GmVI_000115_000125,inbench,Pets & Animals,0.1540310432853198,0.08657122847695065,0.09505472887345423,0.34511648557115593,0.06590914601242137,0.07835044927500057,0.025110001518958702,0.03175514182384487,0.12618245937084693,0.12034234608143202,0.020530556476641593
inbench_clip_17_gjoZic4WjiQ_000012_000022,inbench,Pets & Animals,0.12337978782273751,0.07914973383745416,0.01278490861651349,0.11151747525818712,0.027401875648061624,0.033158728926139025,0.15328333141111172,0.01023560261861911,0.007967597556196249,0.12698615707280003,0.15058628134069918
inbench_clip_18_q2ZBVyR1k-U_000021_000031,inbench,Pets & Animals,0.14019508205815057,0.01029607733537119,0.012167635243126362,0.03333160044097827,0.013843538484029638,0.022515940481872443,0.06696795065496064,0.012976034838844686,0.010841953608227262,0.3379914910711904,0.06328269731126368
inbench_clip_19_qIWQHyOIpEY_000003_000013,inbench,Pets & Animals,0.12573551572242592,0.03790399364506025,0.18073166014548336,0.11412651343833569,0.11487959067184095,0.0607475616128641,0.02680496439406388,0.06391176584263425,0.06443734707678406,0.1336236675250988,0.829502192006471
external_0m0-Q0zz_-c_000112_000122,external,How-to & Instructional,0.06007087608244499,0.008631756095272114,0.012693239657415423,0.6119859162824746,0.08484460282994188,0.22594876533023778,0.029583891278300523,0.017558470320851005,0.01238282149631742,0.03277390675504421,0.08142091165626975
