clip_key,corpus,clip_idx,video_id,category,duration_s,t,start_s,end_s,scene_spatial_gap,agent_action_gap,control_gap,visual_gap,dominant_type,dominance_margin,visual_minus_control
inbench_clip_01_058y9xGmmTQ_000206_000216,inbench,1.0,058y9xGmmTQ_000206_000216,Food & Cooking,16.39,10,14.9,16.39,0.10173932649804485,0.18632556819949908,0.39649578105311856,0.18632556819949908,agent_action,0.08458624170145423,-0.21017021285361948
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,16.39,0,0.0,1.639,0.22556689417690778,0.1798153139646138,0.10408398979893041,0.22556689417690778,scene_spatial,0.045751580212293974,0.12148290437797737
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,16.39,1,1.639,3.278,0.26836471342838564,0.19258565483276813,0.18693615829786303,0.26836471342838564,scene_spatial,0.07577905859561751,0.0814285551305226
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,16.39,2,3.278,4.917,0.11574213444851567,0.09188678862711008,0.12215980749270461,0.11574213444851567,scene_spatial,0.023855345821405582,-0.006417673044188943
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,16.39,3,4.917,6.556,0.030671045103727868,0.041116898016768655,0.28284405078534414,0.041116898016768655,agent_action,0.010445852913040787,-0.24172715276857548
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,16.39,4,6.556,8.195,0.07950508773704534,0.0643185184033237,0.24894349640605007,0.07950508773704534,scene_spatial,0.015186569333721645,-0.16943840866900473
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,16.39,5,8.195,9.834,0.044613346963970124,0.02541201693596562,0.22114305827484815,0.044613346963970124,scene_spatial,0.019201330028004504,-0.17652971131087802
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,16.39,6,9.834,11.473,0.05741099054886645,0.03646233631864615,0.2370280228292071,0.05741099054886645,scene_spatial,0.0209486542302203,-0.17961703228034065
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,16.39,7,11.473,13.112,0.07428645805676659,0.05189412906344604,0.07125320074371178,0.07428645805676659,scene_spatial,0.022392328993320554,0.0030332573130548157
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,16.39,8,13.112,14.751,0.09585840608053664,0.040516366498636214,0.09457049827160591,0.09585840608053664,scene_spatial,0.055342039581900426,0.0012879078089307328
inbench_clip_03_vLGOZvJ_v4Q_000285_000295,inbench,3.0,vLGOZvJ_v4Q_000285_000295,Food & Cooking,16.39,9,14.751,16.39,0.06417460907356265,0.024049812755218003,0.07497743968875836,0.06417460907356265,scene_spatial,0.04012479631834465,-0.010802830615195713
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,19.37,0,0.0,1.937,0.16097172643125546,0.07286989933134669,0.0421645932586906,0.16097172643125546,scene_spatial,0.08810182709990877,0.11880713317256486
inbench_clip_04_B0EKYDSv_yQ_000002_000012,inbench,4.0,B0EKYDSv_yQ_000002_000012,Food & Cooking,19.37,1,1.937,3.874,0.07480341666906642,0.03430016185440077,0.04926832635999123,0.07480341666906642,scene_spatial,0.04050325481466566,0.025535090309075192
