query_vid,tier,gt,n_refs,correct_rank,correct_rank_pct,self_cos,distractor_mean_cos,cos_margin,z_margin,top_ref,top_cos,source_vid,source_rank,source_rank_pct,source_cos,word_count,alignment_cosine,high_alignment
dlBeUWrse3I_000019_000029,tier0_cross,0,60,15,0.7627118644067796,0.059974834,-0.07597497981355932,0.1359498138135593,0.8044649240101407,0m0-Q0zz_-c_000112_000122,0.362615824,eb-ufaFcUas_000008_000018,41,0.3220338983050847,-0.181476071,61,0.9755564175950455,True
dlBeUWrse3I_000019_000029,tier1_vatex_short,1,60,38,0.3728813559322034,0.013369718,0.08315979191525423,-0.06979007391525423,-0.5007456389737799,xW6hpK-DBMY_000080_000090,0.434358865,,nan,nan,nan,10,0.9755564175950455,True
dlBeUWrse3I_000019_000029,tier2_vatex_long,2,60,30,0.5084745762711864,-0.056377538,-0.01838941805084746,-0.037988119949152535,-0.21110460901072026,0m0-Q0zz_-c_000112_000122,0.486485094,,nan,nan,nan,29,0.9755564175950455,True
dlBeUWrse3I_000019_000029,tier3_va11y,3,60,15,0.7627118644067796,0.010742464,-0.12118995830508475,0.13193242230508476,0.7066164083525232,0m0-Q0zz_-c_000112_000122,0.5234676,,nan,nan,nan,63,0.9755564175950455,True
eb-ufaFcUas_000008_000018,tier0_cross,0,60,43,0.288135593220339,-0.232893616,-0.10542931657627118,-0.12746429942372883,-0.6431683501552039,0m0-Q0zz_-c_000112_000122,0.555419624,g8Idd47kGqo_000037_000047,58,0.03389830508474576,-0.365649283,54,0.9958715294168635,True
eb-ufaFcUas_000008_000018,tier1_vatex_short,1,60,42,0.3050847457627119,-0.153787866,-0.006042605898305088,-0.14774526010169492,-0.7704922990539544,0m0-Q0zz_-c_000112_000122,0.544912994,,nan,nan,nan,19,0.9958715294168635,True
eb-ufaFcUas_000008_000018,tier2_vatex_long,2,60,42,0.3050847457627119,-0.153787866,-0.006042605898305088,-0.14774526010169492,-0.7704922990539544,0m0-Q0zz_-c_000112_000122,0.544912994,,nan,nan,nan,19,0.9958715294168635,True
eb-ufaFcUas_000008_000018,tier3_va11y,3,60,41,0.3220338983050847,-0.181476071,-0.07188259159322034,-0.10959347940677965,-0.6472836600063067,0m0-Q0zz_-c_000112_000122,0.362615824,,nan,nan,nan,61,0.9958715294168635,True
g8Idd47kGqo_000037_000047,tier0_cross,0,60,56,0.06779661016949153,-0.306622535,-0.059133126,-0.24748940899999997,-1.1878076590646771,0m0-Q0zz_-c_000112_000122,0.639296055,gFBO3zrod9Y_000005_000015,24,0.6101694915254238,-0.055716015,52,0.0,False
g8Idd47kGqo_000037_000047,tier1_vatex_short,1,60,42,0.3050847457627119,-0.298260778,-0.16174344647457628,-0.13651733152542372,-0.7046136886833343,0m0-Q0zz_-c_000112_000122,0.444694072,,nan,nan,nan,12,0.0,False
