clip_key,corpus,clip_idx,video_id,category,duration_s,n_trs,mean_scene_spatial_gap,mean_agent_action_gap,mean_control_gap,mean_visual_gap,max_visual_gap,dominant_clip_type,scene_agent_time_rho,scene_agent_peak_apart,top1_share,uniform_null,top1_vs_uniform,top_windows
external_iGmGQxox43I_000000_000010,external,,iGmGQxox43I_000000_000010,How-to & Instructional,10.0,11,0.10236999709420475,0.13637509393836741,0.0693717033756188,0.18212301541777867,1.0863189082371136,agent_action,0.7029141769071918,0,0.5422503254662874,0.09090909090909091,5.964753580129161,"0.0-3.6s agent_action (action_state_or_agent_cue, peak=1.086); 6.4-9.1s scene_spatial (static_ad_ok_low_gap, peak=0.137); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.085)"
external_BHxn3qfPAl4_000018_000028,external,,BHxn3qfPAl4_000018_000028,Health & Wellness,10.0,10,0.1913578916463933,0.25188493110018567,0.17904076276073821,0.3167171812470297,1.0809082613645236,agent_action,0.8027700759805307,1,0.341285009265553,0.1,3.4128500926555296,"6.0-9.0s agent_action (action_state_or_agent_cue, peak=1.081); 9.0-10.0s agent_action (action_state_or_agent_cue, peak=0.755); 0.0-3.0s scene_spatial (static_ad_ok_low_gap, peak=0.179)"
external_zTJ0Zbv1jBo_000045_000055,external,,zTJ0Zbv1jBo_000045_000055,Health & Wellness,10.0,11,0.5920116555955585,0.19844545225040425,0.04629582651921595,0.5920116555955585,1.0262665348950901,scene_spatial,0.7376065981000166,0,0.15759310958815426,0.09090909090909091,1.7335242054696969,"0.0-3.6s scene_spatial (layout_replay_or_scene_cue, peak=1.026); 3.6-6.4s scene_spatial (layout_replay_or_scene_cue, peak=0.867); 6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.809)"
external_GOH6fBhoi2o_000010_000020,external,,GOH6fBhoi2o_000010_000020,Entertainment,10.0,10,0.7689367006681229,0.19911202880406462,0.17461641817529788,0.818331242947543,1.0077491301049082,scene_spatial,-0.8238916692308272,1,0.1231468477819693,0.1,1.231468477819693,"3.0-6.0s scene_spatial (layout_replay_or_scene_cue, peak=1.008); 0.0-3.0s scene_spatial (layout_replay_or_scene_cue, peak=0.910); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.740)"
external_0m0-Q0zz_-c_000112_000122,external,,0m0-Q0zz_-c_000112_000122,How-to & Instructional,10.0,11,0.2630581752650346,0.1430606255393342,0.07452377529941785,0.26749466598269644,1.0014171641982383,scene_spatial,0.9308049893233223,0,0.3403354742928245,0.09090909090909091,3.7436902172210695,"0.0-3.6s scene_spatial (layout_replay_or_scene_cue, peak=1.001); 6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.321); 9.1-10.0s agent_action (static_ad_ok_low_gap, peak=0.237)"
external_BcW6Y7eufQE_000239_000249,external,,BcW6Y7eufQE_000239_000249,People & Vlogs,10.0,11,0.2456306057146886,0.2373552512804249,0.1814278238528672,0.3297555207931808,0.9195952474135034,scene_spatial,0.703112277445401,1,0.25351984326326077,0.09090909090909091,2.788718275895868,"0.0-3.6s agent_action (action_state_or_agent_cue, peak=0.920); 9.1-10.0s agent_action (action_state_or_agent_cue, peak=0.662); 3.6-6.4s scene_spatial (static_ad_ok_low_gap, peak=0.257)"
external_crjesEwF0Ks_000197_000207,external,,crjesEwF0Ks_000197_000207,How-to & Instructional,10.0,10,0.30216011087835454,0.22017771520566204,0.04963523919066026,0.3278958838994596,0.9026884582180909,scene_spatial,0.8171296834435804,0,0.27529728262611425,0.1,2.7529728262611424,"0.0-3.0s agent_action (action_state_or_agent_cue, peak=0.903); 6.0-9.0s scene_spatial (layout_replay_or_scene_cue, peak=0.528); 9.0-10.0s scene_spatial (layout_replay_or_scene_cue, peak=0.453)"
external_HpRmj5ce32c_000001_000011,external,,HpRmj5ce32c_000001_000011,Sports,10.0,11,0.41678218692007396,0.2991144760531036,0.14098619059917689,0.5038012674053584,0.8163882973825453,scene_spatial,-0.26075000052486036,1,0.14731427399159894,0.09090909090909091,1.6204570139075882,"6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.816); 0.0-3.6s agent_action (action_state_or_agent_cue, peak=0.662); 3.6-6.4s scene_spatial (layout_replay_or_scene_cue, peak=0.498)"
external_2kJxrcNRS9w_000047_000057,external,,2kJxrcNRS9w_000047_000057,Sports,10.0,11,0.42775132100150925,0.11310959264680388,0.2817322121931449,0.42775132100150925,0.7995618815521248,scene_spatial,0.5928614645681023,1,0.16992920935294883,0.09090909090909091,1.8692213028824372,"6.4-9.1s scene_spatial (layout_replay_or_scene_cue, peak=0.800); 0.0-3.6s scene_spatial (layout_replay_or_scene_cue, peak=0.529); 3.6-6.4s scene_spatial (layout_replay_or_scene_cue, peak=0.385)"
external_1YemrpNBpf4_000001_000011,external,,1YemrpNBpf4_000001_000011,Entertainment,10.0,10,0.11122721182434878,0.20465222906699237,0.06129243570565622,0.2593689352602941,0.7834556265811858,agent_action,-0.002188518573726862,1,0.30206224419086103,0.1,3.02062244190861,"0.0-3.0s agent_action (action_state_or_agent_cue, peak=0.783); 9.0-10.0s scene_spatial (static_ad_ok_low_gap, peak=0.283); 6.0-9.0s scene_spatial (static_ad_ok_low_gap, peak=0.155)"
