vid,new,drop_lie,drop_clean
3ufJNSez5Is_000008_000018,False,0.014374166727065985,-0.005227476358413696
_oAKCHh_Av4_000003_000013,False,-0.004948168992996216,-0.003636538982391302
BHxn3qfPAl4_000018_000028,False,0.06537944078445435,0.0074255764484405795
BcW6Y7eufQE_000239_000249,False,0.02018582820892334,0.02556464076042181
EA3HCx0yTIY_000281_000291,False,0.12656500935554504,-0.006961166858673096
j6CgiNeWQwM_000842_000852,False,0.013861298561096191,-0.0013237595558165949
9fuIpQgnNEQ_000049_000059,False,0.17091844975948334,-0.001986414194107
u-olDM7oGGM_000012_000022,False,0.09047691524028778,0.004604041576385498
eb-ufaFcUas_000008_000018,False,0.11878818273544312,0.03374257683753967
heWD9j45Emw_000225_000235,False,0.17929527163505554,-0.0025313496589660645
2kJxrcNRS9w_000047_000057,False,0.009071290493011475,0.00904741883277893
N-LZPc27kjM_000229_000239,False,0.08791115880012512,0.0015205740928649902
RlfVK8z5wJ0_000000_000010,False,0.0756121575832367,0.011688023805618342
F-mRnL_XmJU_000000_000010,False,0.04566754400730133,0.010988146066665705
g8Idd47kGqo_000037_000047,False,0.09323234856128687,0.00552058219909668
d7_SY48r__8_000060_000070,False,0.025257259607315008,0.012155324220657293
iEAWgsSvJAE_000023_000033,False,0.038901537656784,-0.0007410943508148193
S-C86j0keqc_000217_000227,False,0.06598383188247675,-0.005347043275833185
ShSSAEfnyDs_000000_000010,True,0.024723798036575317,-0.0008469521999359131
wbOD_G3ttgU_000083_000093,True,-0.0022828876972198486,0.03814214468002325
3su234u58DA_000172_000182,True,0.006151556968688965,0.023563295602798462
8vkNr_eysXY_000002_000012,True,-0.03406637907028198,0.007427126169204712
RjPp0ZPW0yc_000000_000010,True,-0.0063629150390625,-0.009801834821700994
