track,signal,n,positives,auc,average_precision,rho_pro_margin,top_positive_budget_hits,top_positive_budget_recall
external_proxy_clip_top3,social_collision_boundary,58,27,0.7228195937873357,0.6984356408956042,-0.23956811298340974,17,0.6296296296296297
external_proxy_clip_top3,social_need_boundary,58,27,0.7072879330943848,0.6654153622999216,-0.27207850133809103,18,0.6666666666666666
external_proxy_clip_top3,social_only,58,27,0.6672640382317802,0.5988842208605936,-0.25093622252182235,17,0.6296296296296297
external_proxy_clip_top3,speech_z,58,27,0.6278375149342891,0.6120493394720299,-0.07164177249295486,16,0.5925925925925926
external_proxy_clip_top3,need_z,58,27,0.6260454002389486,0.5829194862878625,-0.16884555046294875,15,0.5555555555555556
external_proxy_clip_top3,slotable_inverse,58,27,0.6218637992831542,0.5725641980866861,-0.057989408817146634,15,0.5555555555555556
external_proxy_clip_top3,proxy_collision,58,27,0.6188769414575866,0.5818313862742966,-0.054631865518558774,17,0.6296296296296297
external_proxy_need_weighted_clip,social_collision_boundary,54,29,0.6868965517241379,0.7271452757124737,-0.2377784978228267,19,0.6551724137931034
external_proxy_need_weighted_clip,social_need_boundary,54,29,0.6744827586206896,0.6902304674353469,-0.26731465599390125,19,0.6551724137931034
external_proxy_need_weighted_clip,social_only,54,29,0.6558620689655172,0.7254603953201724,-0.24181598936315063,18,0.6206896551724138
external_proxy_need_weighted_clip,speech_z,54,29,0.5868965517241379,0.6930153551771487,-0.07440572121650342,18,0.6206896551724138
external_proxy_need_weighted_clip,slotable_inverse,54,29,0.5827586206896552,0.6500216227367804,-0.07169408256366562,18,0.6206896551724138
external_proxy_need_weighted_clip,proxy_collision,54,29,0.576551724137931,0.6072012526671065,-0.06266557396933746,19,0.6551724137931034
external_proxy_need_weighted_clip,need_z,54,29,0.5751724137931035,0.6017326413831237,-0.15967219363445775,18,0.6206896551724138
external_proxy_standard_slot_weighted,social_collision_boundary,54,31,0.7307152875175316,0.8040955494186551,-0.22893518081498831,21,0.6774193548387096
external_proxy_standard_slot_weighted,social_need_boundary,54,31,0.7166900420757363,0.7578516145169115,-0.27127882599580705,22,0.7096774193548387
external_proxy_standard_slot_weighted,social_only,54,31,0.6654978962131838,0.745062474832122,-0.19828911127778356,20,0.6451612903225806
external_proxy_standard_slot_weighted,proxy_collision,54,31,0.638148667601683,0.6717603912037999,-0.10383273935065405,22,0.7096774193548387
external_proxy_standard_slot_weighted,need_z,54,31,0.6325385694249649,0.6639231156014549,-0.21517057366113965,22,0.7096774193548387
external_proxy_standard_slot_weighted,speech_z,54,31,0.6016830294530154,0.7218765935093014,-0.03385439772633839,21,0.6774193548387096
external_proxy_standard_slot_weighted,slotable_inverse,54,31,0.5960729312762973,0.6766918319755049,-0.022021792695773514,20,0.6451612903225806
