bucket,spearman_rho,p,tier2_over_tier3_clips,question_count
all,0.7888337624146254,1.90138953558368e-16,0,90
motion,0.7496295381349674,0.0008274115745080547,0,6
static,0.69341586293668,1.4673043511748623e-11,0,52
