metric,rho,p,tau,wins
ensemble_mean_clip_top3,0.9284910256386235,7.840406438839231e-32,0.835536561638488,54/54
ensemble_crit_clip,0.8816410653612325,1.5909640662037838e-24,0.7637951811808257,54/54
ensemble_crit_mean,0.8816410653612325,1.5909640662037838e-24,0.7637951811808257,54/54
adqa_v2_score,0.8029279984245423,2.1928779813496547e-17,0.6959315317081162,51/54
adqa_critical_w,0.7930798921780347,1.0095195296554338e-16,0.6697578134323285,51/54
