metric,spearman_rho,spearman_p,pairwise_wins,pairwise_total,full_order,n_clips
adqa_v2_score,0.8029279984245423,2.1928779813496547e-17,51,54,0,18
clip_top3,0.7346227922651773,2.0614550819537506e-13,48,54,0,18
clip_mean,0.7250589479395119,5.93887887312067e-13,48,54,0,18
ensemble_mean_clip_top3,0.9284910256386235,7.840406438839231e-32,54,54,0,18
adqa_critical_mean,0.78118327748189,5.74028214713103e-16,48,54,0,18
clip_top3_vs_adqa_rank_gt,0.7178860646952627,1.2762705354460066e-12,48,54,0,18
