clip_idx,delta_tribe_minus_uniform,dominant_type,end_s,need_or_gap_score,route_or_recommendation,source,start_s,tribe_frame_count,uniform_frame_count,window_idx
12,-1,scene_spatial,4.334545454545455,0.5185963599270866,layout_replay_or_scene_cue,tribe_blind_spot_windows,0.0,1,2,0
12,0,scene_spatial,6.501818181818182,0.5735080961722543,layout_replay_or_scene_cue,tribe_blind_spot_windows,4.334545454545455,1,1,1
12,-1,scene_spatial,10.836363636363638,0.43704217522432603,layout_replay_or_scene_cue,tribe_blind_spot_windows,6.501818181818182,2,3,2
13,1,,2.98,0.6344394468570758,extended_or_integrated_ad,coarse_need_windows,0.0,3,2,0
13,0,,11.92,0.5243680056836387,extended_or_integrated_ad,coarse_need_windows,8.94,1,1,3
14,-1,,2.98,0.4886847009096419,extended_or_integrated_ad,coarse_need_windows,0.0,1,2,0
14,-1,,5.96,0.47171627834168306,extended_or_integrated_ad,coarse_need_windows,2.98,2,3,1
14,0,,8.94,0.484288898523419,extended_or_integrated_ad,coarse_need_windows,5.96,2,2,2
14,0,,14.9,0.5376238514689752,extended_or_integrated_ad,coarse_need_windows,11.92,0,0,4
14,-2,agent_action,3.278,0.42307671805455765,action_state_or_agent_cue,tribe_blind_spot_windows,0.0,1,3,0
14,-1,scene_spatial,9.834,0.3004270954193254,layout_replay_or_scene_cue,tribe_blind_spot_windows,6.556,2,3,2
14,0,scene_spatial,13.112,0.3153649742915658,layout_replay_or_scene_cue,tribe_blind_spot_windows,9.834,0,0,3
14,0,scene_spatial,16.39,0.7220518277621899,layout_replay_or_scene_cue,tribe_blind_spot_windows,13.112,0,0,4
15,-1,,2.98,0.5108059153297729,extended_or_integrated_ad,coarse_need_windows,0.0,1,2,0
15,1,,5.96,0.6141136134833061,extended_or_integrated_ad,coarse_need_windows,2.98,2,1,1
15,0,,8.94,0.633079272327266,extended_or_integrated_ad,coarse_need_windows,5.96,2,2,2
15,0,,11.92,0.5706195456395662,extended_or_integrated_ad,coarse_need_windows,8.94,0,0,3
15,0,,14.9,0.7493147206590085,standard_ad_slot,coarse_need_windows,11.92,0,0,4
15,0,scene_spatial,16.39,0.42523769581115256,layout_replay_or_scene_cue,tribe_blind_spot_windows,13.112,0,0,4
