scorer,outcome,feature,spearman_rho,p,n
selected3_mean,tier2_vs_tier1,extended_seconds_frac,0.029000708417538826,0.9090557202821656,18
all4_mean,spread,high_need_seconds_frac,-0.02710189955430864,0.9149891506734137,18
strict_all4_80adqa_20clip,tier2_vs_tier1,extended_seconds_frac,-0.022786270899494792,0.9284901477629244,18
all4_mean,tier3_margin,mean_standard_slot_score,0.018127172591727695,0.9430864395255862,18
all4_mean,tier2_vs_tier1,extended_seconds_frac,-0.017607572967791432,0.9447154230263741,18
claude_vlm_completeness_norm,tier2_vs_tier1,max_need,0.01652893443974693,0.9480976944647225,18
vlm_best_dims_mean,tier2_vs_tier1,need_entropy,0.01547987616099071,0.9513880221541827,18
all4_mean,spread,high_need_frac,-0.012800491548313364,0.9597950781080841,18
all4_mean,spread,extended_seconds_frac,0.009565376313285403,0.9699511437274716,18
clip_mean_norm,tier3_margin,mean_standard_slot_score,-0.009063586295863848,0.9715268555249036,18
selected3_mean,tier3_margin,mean_standard_slot_score,0.006797689721897884,0.9786433508952158,18
all4_mean,spread,tribe_pressure,-0.004765381913745157,0.9850275352480872,18
strict_all4_80adqa_20clip,tier3_margin,mean_standard_slot_score,-0.004531793147931924,0.9857613810982069,18
all4_mean,spread,mean_need,0.0015884606379150523,0.9950089433472135,18
