corpus,route,access_surface,surface_family,windows
all,action_state_or_agent_cue,action_state_or_agent_cue,concise_cue,38
all,layout_replay_or_scene_cue,layout_replay_or_keyframe,defer_replay,78
all,static_ad_ok_low_gap,static_ad_low_pressure,static_ad,218
external,action_state_or_agent_cue,action_state_or_agent_cue,concise_cue,28
external,layout_replay_or_scene_cue,layout_replay_or_keyframe,defer_replay,63
external,static_ad_ok_low_gap,static_ad_low_pressure,static_ad,145
inbench,action_state_or_agent_cue,action_state_or_agent_cue,concise_cue,10
inbench,layout_replay_or_scene_cue,layout_replay_or_keyframe,defer_replay,15
inbench,static_ad_ok_low_gap,static_ad_low_pressure,static_ad,73
