corpus,route,windows
all,action_state_or_agent_cue,38
all,layout_replay_or_scene_cue,78
all,static_ad_ok_low_gap,218
external,action_state_or_agent_cue,28
external,layout_replay_or_scene_cue,63
external,static_ad_ok_low_gap,145
inbench,action_state_or_agent_cue,10
inbench,layout_replay_or_scene_cue,15
inbench,static_ad_ok_low_gap,73
