metric,observed_rho,null_mean_rho,null_p_ge_observed,n_permutations
ensemble_mean_clip_mean,0.929094137704644,-0.003312743800634328,0.0,2000
ensemble_w50_adqa_clip_mean,0.929094137704644,0.001361374711024868,0.0,2000
ensemble_mean_clip_top3,0.9284910256386235,-9.227614610114416e-05,0.0,2000
ensemble_w50_adqa_clip_top3,0.9284910256386235,-8.95621418040502e-05,0.0,2000
ensemble_mean_need_weighted_clip,0.927887913572603,-0.00023566603979752632,0.0,2000
ensemble_w50_adqa_need_weighted_clip,0.927887913572603,0.003260876162956563,0.0,2000
ensemble_mean_critical_weighted_clip,0.9272848015065823,-0.0031158277110786225,0.0,2000
ensemble_w50_adqa_critical_weighted_clip,0.9272848015065823,0.0030607937350542475,0.0,2000
