clip_idx,roi,t,n_vertices,residual_norm,cosine_gap,roi_need_score
0,_unassigned_padding,0,1,0.003970568999648094,0.0,0.0
0,_unassigned_padding,1,1,0.004282619804143906,0.0,0.013377939507766952
0,_unassigned_padding,2,1,0.006970231421291828,0.0,0.12859861869386796
0,_unassigned_padding,3,1,0.0055442797020077705,0.0,0.06746659927029856
0,_unassigned_padding,4,1,0.012708015739917755,0.0,0.3745833443131919
0,_unassigned_padding,5,1,0.01563345640897751,0.0,0.5
0,_unassigned_padding,6,1,0.009863730520009995,0.0,0.25264590634939266
0,_unassigned_padding,7,1,0.004296287894248962,0.0,0.013963904613377221
0,_unassigned_padding,8,1,0.00812530517578125,0.0,0.1781178206697634
0,_unassigned_padding,9,1,0.006984766572713852,0.0,0.12922175561150626
0,auditory_control,0,590,0.06715776080069721,0.2529263496398926,0.6018435000029076
0,auditory_control,1,590,0.07546734951652313,0.35540521144866943,0.8175199167384937
0,auditory_control,2,590,0.05648325572561637,0.29533207416534424,0.5915366121007691
0,auditory_control,3,590,0.030454852450617513,0.05757772922515869,0.043546261571170725
0,auditory_control,4,590,0.035845955481135165,0.06681299209594727,0.09572938085304977
0,auditory_control,5,590,0.07404164268490902,0.19028598070144653,0.5543993406037003
0,auditory_control,6,590,0.04724142651382224,0.029164612293243408,0.1184131507094403
0,auditory_control,7,590,0.051739695977819,0.03190135955810547,0.15433848917725057
0,auditory_control,8,590,0.08093175743547593,0.09780609607696533,0.4612667717936168
0,auditory_control,9,590,0.10133622822109789,0.09615474939346313,0.6026698351977716
0,body_eba_region,0,242,0.05925108947629592,0.350735604763031,0.5425359134846737
0,body_eba_region,1,242,0.04775095403305694,0.1478084921836853,0.19359534033720083
0,body_eba_region,2,242,0.07218717571136443,0.28599220514297485,0.5177792895873545
0,body_eba_region,3,242,0.04921751109996873,0.034815192222595215,0.04033007903904728
0,body_eba_region,4,242,0.08113480605202329,0.018067538738250732,0.18288271776005607
0,body_eba_region,5,242,0.10870721304334324,0.011864125728607178,0.31779885830515797
0,body_eba_region,6,242,0.14084509693744046,0.024317145347595215,0.5030855770980434
