clip_idx,roi,t,n_vertices,residual_norm,cosine_gap,roi_need_score
0,auditory_control,0,1620,0.06337605578718865,0.3438502550125122,0.604882465054793
0,auditory_control,1,1620,0.06158761539075594,0.17351168394088745,0.2983725839844449
0,auditory_control,2,1620,0.06857358037106233,0.19825583696365356,0.3816668144742814
0,auditory_control,3,1620,0.04517973507022856,0.056311845779418945,0.0
0,auditory_control,4,1620,0.059558625259099544,0.08233845233917236,0.12813664932797855
0,auditory_control,5,1620,0.09550425729438432,0.15216410160064697,0.45674473537566085
0,auditory_control,6,1620,0.11167011883749697,0.14062553644180298,0.5298593702797587
0,auditory_control,7,1620,0.10107902361993398,0.10149639844894409,0.4007713691401949
0,auditory_control,8,1620,0.13192598339426398,0.18861490488052368,0.7300615410893735
0,auditory_control,9,1620,0.093649461209952,0.1526607871055603,0.4469174911717838
0,body_eba_proxy,0,597,0.08640235989177734,0.22638553380966187,0.623407186360468
0,body_eba_proxy,1,597,0.07116516333516179,0.15376901626586914,0.3868244563844652
0,body_eba_proxy,2,597,0.05707297898642159,0.08729547262191772,0.1697375694967462
0,body_eba_proxy,3,597,0.052089453937477,0.02665013074874878,0.0
0,body_eba_proxy,4,597,0.09639124799722747,0.04313504695892334,0.2005993471552245
0,body_eba_proxy,5,597,0.12387428293445944,0.03827476501464844,0.28727593781276123
0,body_eba_proxy,6,597,0.17556173408574513,0.06182056665420532,0.5321135753378867
0,body_eba_proxy,7,597,0.16067136470595833,0.05108565092086792,0.4516871642844911
0,body_eba_proxy,8,597,0.19111258122146502,0.07669252157211304,0.6252717096129996
0,body_eba_proxy,9,597,0.06484483119111473,0.17691779136657715,0.42204183363574554
0,early_visual_v1_proxy,0,375,0.12142847724450419,0.25743967294692993,0.30256041084548096
0,early_visual_v1_proxy,1,375,0.06804063359625369,0.33627772331237793,0.21860295365965463
0,early_visual_v1_proxy,2,375,0.06495865545754925,0.03954190015792847,0.06952963925815563
0,early_visual_v1_proxy,3,375,0.04069863274600368,0.03703802824020386,0.013030409456744458
0,early_visual_v1_proxy,4,375,0.06783731516891582,0.14113032817840576,0.12472209052607836
0,early_visual_v1_proxy,5,375,0.11179772878541772,0.6195992529392242,0.4539735841937757
0,early_visual_v1_proxy,6,375,0.1980307077368316,1.0543094091117382,0.858637817461214
0,early_visual_v1_proxy,7,375,0.2192126982680088,0.6624057590961456,0.7193171144976604
0,early_visual_v1_proxy,8,375,0.26004537663455507,0.7646815478801727,0.8613546358956643
0,early_visual_v1_proxy,9,375,0.10398901581511232,0.009817719459533691,0.14427016774241713
0,language_control,0,2296,0.06315335080287486,0.35474127531051636,0.6536840933551327
0,language_control,1,2296,0.058024300130594675,0.1845477819442749,0.2784063638021258
0,language_control,2,2296,0.07207093896402751,0.2589064836502075,0.6526454441090743
0,language_control,3,2296,0.05452499010866921,0.10844039916992188,0.08911388850606737
0,language_control,4,2296,0.0645294601412946,0.13492459058761597,0.31149024054777374
0,language_control,5,2296,0.06300400517907197,0.11491364240646362,0.2509367595470612
0,language_control,6,2296,0.06840762490724724,0.13637065887451172,0.38297856548922
0,language_control,7,2296,0.07015451342922666,0.1358659267425537,0.41325127141709506
0,language_control,8,2296,0.08259673294762154,0.23382443189620972,0.7982830902466425
0,language_control,9,2296,0.061284502907747604,0.05502212047576904,0.12039709892359977
0,lateral_object_loc_proxy,0,870,0.09519104959218998,0.20244050025939941,0.577830182089327
0,lateral_object_loc_proxy,1,870,0.0742962200562974,0.1353147029876709,0.34525336117041416
0,lateral_object_loc_proxy,2,870,0.05788537074084878,0.08481591939926147,0.1675571118600377
0,lateral_object_loc_proxy,3,870,0.050706299613298964,0.022568345069885254,0.0
0,lateral_object_loc_proxy,4,870,0.094985689163225,0.030498504638671875,0.1924184639923543
