w_clip,rho,tau,p
0.5,0.9284910256386235,0.835536561638488,7.840406438839231e-32
0.593,0.9251663375197312,0.8292820325594468,3.6340821506115133e-31
0.624,0.9251663375197312,0.8283471035486695,3.6340821506115133e-31
0.656,0.9245632303896663,0.8274121745378923,4.7634222945234775e-31
0.392,0.9203414804792109,0.8255423165163376,2.9797684369254752e-30
0.363,0.917929051958951,0.8227375294840059,8.122330732370655e-30
0.75,0.9143104091785609,0.8124533103654558,3.455298167192908e-29
0.776,0.9094855521380408,0.8059088072900149,2.162681289474651e-28
0.25,0.9082793378779108,0.8143231683870104,3.366428432127846e-28
0.014,0.9046606950975207,0.8115183813546785,1.2250726384872834e-27
0.0,0.8535892374882668,0.7880135575155107,1.6592027225893715e-21
0.996,0.835303375140044,0.7152206932446187,7.364773648059215e-20
1.0,0.8009975396804021,0.6923555413960913,2.9778666377136065e-17
