w_clip,rho,tau,p
0.5,0.9284910256386235,0.835536561638488,7.840406438839231e-32
0.528,0.9281818731700563,0.8348916066241104,9.070161602826585e-32
0.51,0.9275787660399911,0.8339566776133333,1.2029504993049083e-31
0.573,0.9269756589099262,0.8320868195917787,1.5915671393173695e-31
0.595,0.9257694446497962,0.8302169615702241,2.766188326461907e-31
0.75,0.9143104091785609,0.8124533103654558,3.455298167192908e-29
0.764,0.9106917663981707,0.8077786653115694,1.3807360294136537e-28
0.779,0.9094855521380408,0.8059088072900149,2.162681289474651e-28
0.25,0.9082793378779108,0.8143231683870104,3.366428432127846e-28
0.796,0.9064700164877159,0.8012341622361283,6.464223367288108e-28
0.812,0.9046606950975207,0.7984293752037966,1.2250726384872834e-27
0.0,0.8535892374882668,0.7880135575155107,1.6592027225893715e-21
1.0,0.8009975396804021,0.6923555413960913,2.9778666377136065e-17
