w_clip,rho,tau,p
0.5,0.9284910256386235,0.835536561638488,7.840406438839231e-32
0.622,0.9251663375197312,0.8283471035486695,3.6340821506115133e-31
0.629,0.9251663375197312,0.8283471035486695,3.6340821506115133e-31
0.75,0.9143104091785609,0.8124533103654558,3.455298167192908e-29
0.776,0.9094855521380408,0.8059088072900149,2.162681289474651e-28
0.273,0.9088824450079758,0.8143231683870104,2.700316097888984e-28
0.25,0.9082793378779108,0.8143231683870104,3.366428432127846e-28
0.077,0.9046606950975207,0.8115183813546785,1.2250726384872834e-27
0.085,0.9046606950975207,0.8115183813546785,1.2250726384872834e-27
0.906,0.8672680530334899,0.7526178536757099,6.824883837590133e-23
0.934,0.8558090175622545,0.7376589895032734,1.0110768935520783e-21
0.0,0.8535892374882668,0.7880135575155107,1.6592027225893715e-21
1.0,0.8009975396804021,0.6923555413960913,2.9778666377136065e-17
