w_clip,rho,tau,p
0.5,0.9284910256386235,0.835536561638488,7.840406438839231e-32
0.548,0.9281818731700563,0.8348916066241104,9.070161602826585e-32
0.556,0.9275787660399911,0.8330217486025558,1.2029504993049083e-31
0.647,0.9245632303896663,0.8274121745378923,4.7634222945234775e-31
0.75,0.9143104091785609,0.8124533103654558,3.455298167192908e-29
0.25,0.9082793378779108,0.8143231683870104,3.366428432127846e-28
0.787,0.9082793378779108,0.8040389492684602,3.366428432127846e-28
0.237,0.9082793378779108,0.8143231683870104,3.366428432127846e-28
0.065,0.9046606950975207,0.8115183813546785,1.2250726384872834e-27
0.834,0.8956140881465455,0.7872102270744692,2.5000970368685952e-26
0.0,0.8535892374882668,0.7880135575155107,1.6592027225893715e-21
0.973,0.8413344464406942,0.7208302673092823,2.2230637667816164e-20
1.0,0.8009975396804021,0.6923555413960913,2.9778666377136065e-17
