w_clip,rho,tau,p
0.5,0.9284910256386235,0.835536561638488,7.840406438839231e-32
0.528,0.9281818731700563,0.8348916066241104,9.070161602826585e-32
0.514,0.9275787660399911,0.8339566776133333,1.2029504993049083e-31
0.596,0.9257694446497962,0.8302169615702241,2.766188326461907e-31
0.59,0.9257694446497962,0.8302169615702241,2.766188326461907e-31
0.652,0.9245632303896663,0.8274121745378923,4.7634222945234775e-31
0.694,0.9227539089994711,0.8246073875055604,1.0585602766341873e-30
0.388,0.9203414804792109,0.8255423165163376,2.9797684369254752e-30
0.75,0.9143104091785609,0.8124533103654558,3.455298167192908e-29
0.25,0.9082793378779108,0.8143231683870104,3.366428432127846e-28
0.863,0.8841550526753102,0.7722513629020328,7.841943331566049e-25
0.0,0.8535892374882668,0.7880135575155107,1.6592027225893715e-21
1.0,0.8009975396804021,0.6923555413960913,2.9778666377136065e-17
