w_clip,rho,tau,p
0.5,0.9284910256386235,0.835536561638488,7.840406438839231e-32
0.406,0.9215476947393411,0.8274121745378923,1.7833991632781087e-30
0.338,0.915516623438691,0.8208676714624512,2.1479207926499265e-29
0.75,0.9143104091785609,0.8124533103654558,3.455298167192908e-29
0.25,0.9082793378779108,0.8143231683870104,3.366428432127846e-28
0.258,0.9082793378779108,0.8143231683870104,3.366428432127846e-28
0.162,0.9058669093576507,0.8124533103654558,8.011014741126239e-28
0.163,0.9058669093576507,0.8124533103654558,8.011014741126239e-28
0.123,0.9046606950975207,0.8115183813546785,1.2250726384872834e-27
0.857,0.8859643740655052,0.7741212209235874,4.665275280425917e-25
0.0,0.8535892374882668,0.7880135575155107,1.6592027225893715e-21
0.969,0.8413344464406942,0.7208302673092823,2.2230637667816164e-20
1.0,0.8009975396804021,0.6923555413960913,2.9778666377136065e-17
