w_clip,rho,tau,p
0.5,0.9284910256386235,0.835536561638488,7.840406438839231e-32
0.733,0.917325944828886,0.8161930264085648,1.0386491294285449e-29
0.75,0.9143104091785609,0.8124533103654558,3.455298167192908e-29
0.307,0.911897980658301,0.8171279554193421,8.758916246467449e-29
0.25,0.9082793378779108,0.8143231683870104,3.366428432127846e-28
0.255,0.9082793378779108,0.8143231683870104,3.366428432127846e-28
0.223,0.9082793378779108,0.8143231683870104,3.366428432127846e-28
0.786,0.9082793378779108,0.8040389492684602,3.366428432127846e-28
0.217,0.9082793378779108,0.8143231683870104,3.366428432127846e-28
0.806,0.9052638022275857,0.7993643042145738,9.913645532497843e-28
0.0,0.8535892374882668,0.7880135575155107,1.6592027225893715e-21
0.942,0.8533965890419946,0.7348542024709416,1.7314162106888543e-21
1.0,0.8009975396804021,0.6923555413960913,2.9778666377136065e-17
