label,feature,n,positives,auc,recall_at_prevalence_k,recall_at_top20pct,score_mean_positive,score_mean_negative
clip_halluc_drop_top_quartile,mean_visual_gap,60,15,0.6592592593,0.4,0.3333333333,0.3282640859,0.2195268267
clip_halluc_drop_top_quartile,max_visual_gap,60,15,0.6548148148,0.5333333333,0.4666666667,0.83330279,0.5721908437
clip_halluc_drop_top_quartile,top_window_peak_visual_gap,60,15,0.6548148148,0.5333333333,0.4666666667,0.83330279,0.5721908437
clip_halluc_drop_top_quartile,mean_agent_action_gap,60,15,0.6414814815,0.4666666667,0.3333333333,0.190711884,0.1172618199
clip_halluc_drop_top_quartile,top_case_priority_score,60,15,0.6266666667,0.4,0.2666666667,1.877783516,1.299135673
clip_halluc_drop_top_quartile,route_mean_action_state_or_agent_cue,60,15,0.6207407407,0.4666666667,0.4666666667,0.3559392183,0.1695000101
clip_halluc_drop_top_quartile,top_window_visual_minus_control,60,15,0.6162962963,0.4666666667,0.4,0.4130058498,0.2110979656
clip_halluc_drop_top_quartile,mean_scene_spatial_gap,60,15,0.6148148148,0.3333333333,0.2666666667,0.2644368662,0.1921631302
clip_halluc_drop_top_quartile,route_peak_action_state_or_agent_cue,60,15,0.6074074074,0.4666666667,0.4,0.5107369883,0.2648597145
clip_halluc_drop_top_quartile,route_share_action_state_or_agent_cue,60,15,0.6037037037,0.4666666667,0.3333333333,0.1833333333,0.0962962963
clip_halluc_drop_top_quartile,top_route_is_action_state_or_agent_cue,60,15,0.5666666667,0.4,0.4,0.4,0.2666666667
clip_halluc_drop_top_quartile,route_mean_layout_replay_or_scene_cue,60,15,0.5333333333,0.2666666667,0.2666666667,0.2467231933,0.1862841684
clip_halluc_drop_top_quartile,mean_control_gap,60,15,0.5244444444,0.2,0.06666666667,0.1206915867,0.1336544627
clip_halluc_drop_top_quartile,scene_agent_peak_apart,60,15,0.5111111111,0.4,0.3333333333,0.5333333333,0.5111111111
clip_halluc_drop_top_quartile,top1_vs_uniform,60,15,0.5081481481,0.3333333333,0.2666666667,2.709544646,2.676910438
clip_halluc_drop_top_quartile,route_peak_layout_replay_or_scene_cue,60,15,0.5081481481,0.2666666667,0.2666666667,0.3841510096,0.3173982417
clip_halluc_drop_top_quartile,route_share_layout_replay_or_scene_cue,60,15,0.5059259259,0.3333333333,0.2666666667,0.2833333333,0.2574074074
clip_halluc_drop_top_quartile,top_route_is_layout_replay_or_scene_cue,60,15,0.4777777778,0.3333333333,0.3333333333,0.4,0.4444444444
clip_halluc_drop_top_quartile,top_route_is_static_ad_ok_low_gap,60,15,0.4555555556,0.1333333333,0.06666666667,0.2,0.2888888889
clip_halluc_drop_top_quartile,route_peak_static_ad_ok_low_gap,60,15,0.4355555556,0.2666666667,0.2666666667,0.1520685915,0.1760509629
clip_halluc_drop_top_quartile,route_share_static_ad_ok_low_gap,60,15,0.4059259259,0.1333333333,0.06666666667,0.5333333333,0.6462962963
clip_halluc_drop_top_quartile,route_mean_static_ad_ok_low_gap,60,15,0.3866666667,0.2,0.1333333333,0.09037236488,0.1133049085
clip_specific_margin_gt0,top_case_priority_score,60,49,0.6437847866,0.8163265306,0.2448979592,1.628863682,0.61941251
clip_specific_margin_gt0,route_peak_action_state_or_agent_cue,60,49,0.5881261596,0.8163265306,0.2448979592,0.3697830897,0.132760962
clip_specific_margin_gt0,route_peak_static_ad_ok_low_gap,60,49,0.586270872,0.8163265306,0.2040816327,0.1724355163,0.1594529002
clip_specific_margin_gt0,route_mean_action_state_or_agent_cue,60,49,0.5807050093,0.8163265306,0.2244897959,0.2435270367,0.09397853922
clip_specific_margin_gt0,max_visual_gap,60,49,0.5769944341,0.8163265306,0.2448979592,0.666380711,0.5086795433
clip_specific_margin_gt0,top_window_peak_visual_gap,60,49,0.5769944341,0.8163265306,0.2448979592,0.666380711,0.5086795433
clip_specific_margin_gt0,top_route_is_action_state_or_agent_cue,60,49,0.5723562152,0.8163265306,0.2040816327,0.3265306122,0.1818181818
clip_specific_margin_gt0,route_share_action_state_or_agent_cue,60,49,0.5667903525,0.8163265306,0.2244897959,0.1292517007,0.06818181818
clip_specific_margin_gt0,top1_vs_uniform,60,49,0.5584415584,0.8367346939,0.2448979592,2.744498305,2.420338407
clip_specific_margin_gt0,mean_visual_gap,60,49,0.547309833,0.8163265306,0.2040816327,0.2497302824,0.2332622413
clip_specific_margin_gt0,top_window_visual_minus_control,60,49,0.5417439703,0.7959183673,0.2244897959,0.2742869743,0.204948587
clip_specific_margin_gt0,route_mean_static_ad_ok_low_gap,60,49,0.5380333952,0.8163265306,0.1836734694,0.1079167522,0.1060350452
clip_specific_margin_gt0,mean_agent_action_gap,60,49,0.5287569573,0.8163265306,0.2244897959,0.1401047031,0.1156663366
clip_specific_margin_gt0,route_share_static_ad_ok_low_gap,60,49,0.5102040816,0.8571428571,0.1836734694,0.619047619,0.6136363636
clip_specific_margin_gt0,mean_scene_spatial_gap,60,49,0.5064935065,0.8163265306,0.2040816327,0.2089985703,0.2157239914
clip_specific_margin_gt0,top_route_is_static_ad_ok_low_gap,60,49,0.4962894249,0.8163265306,0.1836734694,0.2653061224,0.2727272727
clip_specific_margin_gt0,scene_agent_peak_apart,60,49,0.4823747681,0.8367346939,0.2244897959,0.5102040816,0.5454545455
clip_specific_margin_gt0,mean_control_gap,60,49,0.4489795918,0.8163265306,0.1632653061,0.1276212701,0.1428529444
clip_specific_margin_gt0,route_share_layout_replay_or_scene_cue,60,49,0.4443413729,0.7959183673,0.1836734694,0.2517006803,0.3181818182
clip_specific_margin_gt0,route_mean_layout_replay_or_scene_cue,60,49,0.4424860853,0.7959183673,0.1836734694,0.1945006197,0.2321004649
clip_specific_margin_gt0,route_peak_layout_replay_or_scene_cue,60,49,0.4406307978,0.7959183673,0.1836734694,0.3242309065,0.3779883276
clip_specific_margin_gt0,top_route_is_layout_replay_or_scene_cue,60,49,0.4313543599,0.7959183673,0.2448979592,0.4081632653,0.5454545455
clip_specific_margin_top_quartile,mean_visual_gap,60,15,0.6177777778,0.4,0.2666666667,0.3148083596,0.2240120688
