probe_type,n_clips,clip_halluc_drop_mean,clip_para_drop_mean,clip_specific_margin_mean,clip_halluc_detect_rate,clip_specific_rate,adqa_halluc_drop_mean,adqa_para_drop_mean,adqa_specific_margin_mean,adqa_detect_rate,adqa_blind_rate,mean_visual_gap,max_visual_gap
action_relation,18,0.04739772777,0.005250114534,0.04214761323,1,1,0.1333333333,-0.05555555556,0.1888888889,0.5555555556,0.4444444444,0.2563978519,0.7107955479
spatial_relation,9,0.04615817633,0.005802591642,0.04035558469,1,1,0.1111111111,0.02222222222,0.08888888889,0.6666666667,0.3333333333,0.2267762001,0.6138356844
who_role,9,0.04447172748,0.00717738933,0.03729433815,1,1,0.1222222222,0.02222222222,0.1,0.6666666667,0.3333333333,0.3123039185,0.746867464
count,6,0.03912934661,0.004655515154,0.03447383145,1,0.8333333333,0.1166666667,0.01666666667,0.1,0.6666666667,0.3333333333,0.1966699884,0.5079347942
