swap_class,n_clips,clip_halluc_drop_mean,clip_para_drop_mean,clip_specific_margin_mean,clip_halluc_detect_rate,clip_specific_rate,adqa_halluc_drop_mean,adqa_para_drop_mean,adqa_specific_margin_mean,adqa_detect_rate,adqa_blind_rate,mean_visual_gap,max_visual_gap
object_scene,18,0.04739772777,0.005250114534,0.04214761323,1,1,0.1333333333,-0.05555555556,0.1888888889,0.5555555556,0.4444444444,0.2563978519,0.7107955479
action_relational,2,0.06963825226,0.01549521089,0.05414304137,1,1,0.15,0.05,0.1,1,0,0.3361823251,1.011534816
count_action,1,0.02743554115,-0.009801834822,0.03723737597,1,1,0.1,0,0.1,1,0,0.2663328261,0.4056152041
count_relational,1,0.00983056426,0.03814214468,-0.02831158042,1,0,0.2,0,0.2,1,0,0.06195286011,0.1627583499
relational_action,1,0.00534299016,-0.0008469521999,0.00618994236,1,1,0,0,0,0,1,0.08822300855,0.1180721172
