clip_idx,tier,gt,weighted_ocr_score,mean_ocr_score
7,tier0_cross,0,0.0,0.0
7,tier1_vatex_short,1,0.0,0.0
7,tier2_vatex_long,2,0.0,0.0
7,tier3_va11y,3,0.0,0.0
19,tier0_cross,0,0.06666666666666667,0.06666666666666667
19,tier1_vatex_short,1,0.0,0.0
19,tier2_vatex_long,2,0.06666666666666667,0.06666666666666667
19,tier3_va11y,3,0.13333333333333333,0.13333333333333333
