comparison,group,n_videos,n_questions,mean,ci_low,ci_high,wins,losses,ties,sign_p_one_sided
tribe_minus_vlm,all,44,220,0.020454545454545454,-0.0022727272727272726,0.04318181818181818,13,5,202,0.048126220703125
tribe_minus_vlm,matched,44,62,0.06451612903225806,0.017241379310344827,0.11290322580645161,8,1,53,0.01953125
tribe_minus_vlm,unmatched,44,158,0.0031645569620253164,-0.01592356687898089,0.025,5,4,149,0.5
tribe_minus_baseline,all,44,220,0.004545454545454545,-0.011363636363636364,0.020454545454545454,7,4,209,0.2744140625
tribe_minus_baseline,matched,44,62,0.008064516129032258,0.0,0.026785714285714284,1,0,61,0.5
tribe_minus_baseline,unmatched,44,158,0.0031645569620253164,-0.018870909959398136,0.024844720496894408,6,4,148,0.376953125
vlm_minus_baseline,all,44,220,-0.015909090909090907,-0.04090909090909091,0.006818181818181818,7,12,201,0.9164657592773438
vlm_minus_baseline,matched,44,62,-0.056451612903225805,-0.109375,-0.007692307692307693,2,8,52,0.9892578125
vlm_minus_baseline,unmatched,44,158,0.0,-0.02581064097193129,0.02243951612903227,5,4,149,0.5
