dominant_roi,n,adqa_fail_rate,ensemble_fail_rate,mean_visual_minus_control
retrosplenial_pos,30,0.23333333333333334,0.03333333333333333,0.07574301454100445
early_visual_v1,17,0.17647058823529413,0.058823529411764705,0.08327211021230035
scene_ppa,9,0,0,0.1776182299991025
lateral_object_loc,2,0,0,0.41843927821281757
body_eba_region,1,0,0,-0.2963630296389669
higher_visual_v2v3v4,1,0,0,-0.015994223756102155
