video_id,category,mean_visual_gap,adqa_fail,ensemble_fail,category_residual_gap,category_z_gap
v2Hr1CH-yb0_000076_000086,How-to & Instructional,0.42448630480375504,0,0,0.1976201344111788,1.8504861161825592
F-mRnL_XmJU_000000_000010,Entertainment,0.36214732319312576,0,0,0.08911145641486717,0.4188068574189072
dlBeUWrse3I_000019_000029,How-to & Instructional,0.32436410319642284,0,0,0.09749793280384658,0.9129564229251554
1HUWWCLza0w_000000_000010,Sports,0.3700086369131312,0,0,0.08478351316563931,0.49816908995273834
_TKzyWZHjm8_000002_000012,Health & Wellness,0.4940985420573885,0,0,0.11342339855175015,0.6300418459853755
iEAWgsSvJAE_000023_000033,Film & Animation,0.3210530627888026,0,0,0.01303785715162381,1.0
d7_SY48r__8_000060_000070,How-to & Instructional,0.3357883333321757,1,1,0.10892216293959947,1.019931247718561
8vkNr_eysXY_000002_000012,How-to & Instructional,0.4790613306121493,1,0,0.252195160219573,2.3615186982099177
EA3HCx0yTIY_000281_000291,Music,0.7485097452540056,0,0,0.34870036455182163,1.0
S-C86j0keqc_000217_000227,Event,0.24730429018436648,0,0,0.07345159665599543,1.0734103681780847
iGmGQxox43I_000000_000010,How-to & Instructional,0.18212301541777867,0,0,-0.04474315497479758,-0.41896837749738913
BHxn3qfPAl4_000018_000028,Health & Wellness,0.3167171812470297,0,0,-0.06395796225860867,-0.35527230819566197
zTJ0Zbv1jBo_000045_000055,Health & Wellness,0.5920116555955585,0,0,0.2113365120899201,1.1739274955730845
GOH6fBhoi2o_000010_000020,Entertainment,0.818331242947543,1,1,0.5452953761692845,2.562784315804511
0m0-Q0zz_-c_000112_000122,How-to & Instructional,0.26749466598269644,0,0,0.04062849559012019,0.38043930713291174
BcW6Y7eufQE_000239_000249,People & Vlogs,0.3297555207931808,0,0,0.13401903008753777,1.3499407746629708
crjesEwF0Ks_000197_000207,How-to & Instructional,0.3278958838994596,1,0,0.10102971350688336,0.9460275023262701
HpRmj5ce32c_000001_000011,Sports,0.5038012674053584,0,0,0.21857614365786648,1.2843048666630148
2kJxrcNRS9w_000047_000057,Sports,0.42775132100150925,0,0,0.14252619725401738,0.837452274969348
1YemrpNBpf4_000001_000011,Entertainment,0.2593689352602941,1,0,-0.013666931517964498,-0.06423197274377819
3su234u58DA_000172_000182,Entertainment,0.19330331968007142,0,0,-0.07973254709818717,-0.3747277715755708
iZP6gjlr_nM_000113_000123,How-to & Instructional,0.24478121915430404,0,0,0.01791504876172778,0.16775390373601287
j4CKRgv3jUg_000000_000010,Entertainment,0.39633441880545184,0,0,0.12329855202719325,0.5794796895519622
ZcYB6tPK2Eo_000138_000148,How-to & Instructional,0.23782107649138612,0,0,0.010954906098809863,0.10258014296130634
_oAKCHh_Av4_000003_000013,People & Vlogs,0.3309372605313422,0,0,0.13520076982569915,1.3618441488072366
g8Idd47kGqo_000037_000047,Entertainment,0.2823850458411598,1,0,0.009349179062901225,0.04393935931819258
21T1JDdJgsM_000047_000057,Entertainment,0.19655998774942185,0,0,-0.07647587902883674,-0.35942205248338904
Ccgwurislg8_000082_000092,How-to & Instructional,0.1984037632041385,1,0,-0.02846240718843776,-0.2665178297356699
1-jIze6gy0g_000026_000036,How-to & Instructional,0.19188481341365787,1,0,-0.03498135697891838,-0.32756032479984293
