clip_idx,tier,gt,fusion_semantic_core,fusion_narrative_ground,fusion_audit_no_ref,fusion_entity_action,fusion_timing_semantic,fusion_paper_stack_v1,fusion_grid_best
0,tier0_cross,0,-1.3500375204946071,-1.1480856264064199,-1.2357886710678003,-1.004570894721786,-0.6193346968741282,-1.120710252646822,-1.2299296807893025
0,tier1_vatex_short,1,-0.3060353083260145,-0.6234655044737746,-0.17933805219229354,-0.5905877746345446,-0.20309435256031566,-0.3989518610570536,-0.4091358501726513
0,tier2_vatex_long,2,-0.4361499268915138,-0.8116396499679752,-0.5531376208103997,-0.7018127657564704,-0.3190276810743321,-0.6822773119868476,-0.8191738419597807
0,tier3_va11y,3,0.3374335745569664,0.1232197878478462,-0.36611896751078477,0.41650263702813045,0.376478856987753,0.07738605495971203,-0.12687463193135048
1,tier0_cross,0,-1.4137309974919439,-1.1480856264064199,-1.2357886710678003,-1.1003374636434808,-0.5989861056464982,-1.11257081615577,-1.2299296807893025
1,tier1_vatex_short,1,-0.6222650040597851,-0.62629986128767,-0.7587290137515529,-0.7975793346781653,-0.41130673848063853,-0.6442323219571189,-0.9476684625480014
1,tier2_vatex_long,2,0.470609700751969,0.8702476561968577,0.7387663712565269,0.734719188193677,0.3491346530211753,0.7564343455959123,0.6939191986853006
1,tier3_va11y,3,1.691883046414885,1.734148111381843,1.6485229371432801,1.7542185662115495,1.8501279103179022,1.6870110864425663,2.0282683257747007
3,tier0_cross,0,-1.3837368401746617,-1.1480856264064199,-1.2357886710678003,-0.8609210413392439,-1.293847220508606,-1.2328187743814665,-1.2299296807893025
3,tier1_vatex_short,1,0.01572777509998513,0.2203125054225373,0.2379962744836619,0.4304363313058446,0.10199202923355905,0.09375796315928905,0.38093788820226004
3,tier2_vatex_long,2,0.8691863277795367,1.357799820393442,1.4059666397448023,1.100819023820071,0.4553818577972407,1.2659315616152325,1.4637458892920987
3,tier3_va11y,3,1.2852507074412922,1.2465959471852588,1.1026713424916872,1.340235446124308,0.4880937838076288,1.108567080444282,1.3438654332125854
4,tier0_cross,0,-1.3334319087793145,-1.1480856264064199,-1.2357886710678003,-0.9407265154406561,-1.379357158755517,-1.266681612472941,-1.2299296807893025
4,tier1_vatex_short,1,0.17480208257234023,0.27149161879209033,0.24270083767457473,0.193047309544176,-0.14490022358054638,0.2746786468289573,0.03105171739495438
4,tier2_vatex_long,2,0.04432656903017736,0.1232197878478462,0.022178226251661756,0.193047309544176,-0.013110827889976084,0.11829484143566031,-0.1067749147443662
4,tier3_va11y,3,1.3192980396641498,1.2808295481074246,0.853139976191952,1.1332438860806873,0.31750128707917724,1.2134553274741184,1.1814846710507978
5,tier0_cross,0,-1.3127502964504192,-1.1480856264064199,-1.2357886710678003,-0.9407265154406561,-0.803342742251752,-1.1943134707978715,-1.2299296807893025
5,tier1_vatex_short,1,-0.053739220188986324,-0.03037818069679804,-0.11042473612263327,-0.6863543435562394,-0.10726470838423674,0.06922820383285914,-0.36606502762911364
5,tier2_vatex_long,2,1.0748186968805213,1.2808295481074246,1.2366099088000215,0.814021989675038,0.8785117932323505,1.3070462359262596,1.1814846710507978
5,tier3_va11y,3,1.5676880441646401,1.6571778390958258,1.1601686287598267,1.547227006167929,1.8499360313066973,1.698605643726654,1.7460071075333998
6,tier0_cross,0,-1.2276461711423936,-1.1480856264064199,-1.0705408032016421,-1.1003374636434808,-0.40988599736286674,-1.1091873732991497,-1.2299296807893025
6,tier1_vatex_short,1,-0.523512047573734,-0.6728894481218559,-0.3688496713838594,-0.891568419817014,-0.08478269522163012,-0.4928804160684061,-0.52758061216738
6,tier2_vatex_long,2,0.054210943440571105,-0.2774978989372049,-0.14717850469311872,-0.5267433953534146,-0.08396859059758742,-0.136188974864526,-0.389036132985667
6,tier3_va11y,3,1.2246072541962816,1.3701558063054624,1.1406503728766098,1.1806244979214833,1.0638754614585095,1.2089807782541278,1.2979232224994786
7,tier0_cross,0,-0.8249525222087797,-0.5835631899238181,-0.5624706103673004,-0.0005299389041447389,0.2471099998673847,-0.6318704485436606,-0.3831460260653997
7,tier1_vatex_short,1,-0.03446852309210316,-0.3611554435074519,-0.06166630829975832,-0.2399463612083818,-0.11250852010454601,-0.26762990266499076,-0.15917774883900376
7,tier2_vatex_long,2,-0.03323423882602371,-0.3611554435074519,-0.06166630829975832,-0.2399463612083818,0.06449949732678888,-0.23295499592087307,-0.15917774883900376
7,tier3_va11y,3,0.2947933940147914,-0.3611554435074519,-0.4191737147409651,-0.0005299389041447389,0.49602329729495975,-0.15969830156174936,-0.15917774883900376
8,tier0_cross,0,-1.1272124974969888,-1.1480856264064199,-1.0705408032016421,-0.9806292524913622,-0.09104357728124196,-0.9816504052664998,-1.2299296807893025
8,tier1_vatex_short,1,-0.1150570740115337,0.31139393334204685,0.3236188129966246,0.03521384512419756,-0.016572278724156918,0.2092746034689837,0.2580387133720487
8,tier2_vatex_long,2,0.7071483430107603,0.7067854825266978,0.8978964469104608,0.03521384512419756,0.28517388183187686,0.8265138004287916,0.6169622345681962
8,tier3_va11y,3,1.4434931743625403,1.469003693601625,1.1968548025271173,1.340235446124308,1.4639436046770173,1.4907856351954725,1.4637458892920987
