fusion,rho,p,weights
ensemble_baseline,0.927887913572603,1.0411666257611524e-31,existing
semantic_core,0.887053692349418,3.3981398308340105e-25,"{'llm_ad_eval': 0.34, 'adqa_v4': 0.33, 'vt_consistency': 0.33}"
entity_action,0.8155829173599443,2.7038879568613313e-18,"{'adqa_v4': 0.55, 'critic_entity': 0.2, 'action_coverage': 0.25}"
grid_best,0.8096955259726683,7.29981310874795e-18,"{'adqa_v4': 0.75, 'story_recall': 0.0, 'vt_consistency': 0.25}"
paper_stack_v1,0.7937990790302323,9.055447704513374e-17,"{'adqa_v4': 0.35, 'story_recall': 0.2, 'vt_consistency': 0.2, 'action_coverage': 0.1, 'need_weighted_clip': 0.1, 'timing_g7g8': 0.05}"
timing_semantic,0.7848329749749209,3.4075577290386036e-16,"{'adqa_v4': 0.4, 'timing_g7g8': 0.35, 'need_weighted_clip': 0.25}"
narrative_ground,0.7809606597790633,5.923906528839038e-16,"{'adqa_v4': 0.5, 'story_recall': 0.3, 'action_coverage': 0.2}"
audit_no_ref,0.7757551145898484,1.2243512373909164e-15,"{'adqa_v4': 0.45, 'vt_consistency': 0.4, 'coad_repetition': 0.15}"
