dataset,target,feature_group,feature,n,positives,auc_high_value_bad,best_direction_auc,best_direction,spearman_vs_target,random_shuffle_p_ge_auc,category_shuffle_p_ge_auc
external60,ensemble_fail,duration_word_count,tier3_word_count,60,2,0.08189655172413793,0.9181034482758621,low_bad,-0.26030925998542565,0.9860027994401119,0.9934013197360528
external60,ensemble_fail,duration_word_count,tier3_words_per_sec,60,2,0.08189655172413793,0.9181034482758621,low_bad,-0.26030925998542565,0.9860027994401119,0.9934013197360528
external60,ensemble_fail,transcript_speech,transcript_word_count,60,2,0.41379310344827586,0.5862068965517242,low_bad,-0.05421520991377132,0.6588682263547291,0.7078584283143371
external60,ensemble_fail,transcript_speech,transcript_words_per_sec,60,2,0.41379310344827586,0.5862068965517242,low_bad,-0.05421520991377132,0.6588682263547291,0.7078584283143371
external60,ensemble_fail,transcript_speech,transcript_unique_ratio,60,2,0.3232758620689655,0.6767241379310345,low_bad,-0.114385223141767,0.7924415116976604,0.8016396720655868
external60,ensemble_fail,transcript_speech,transcript_sound_cue_count,60,2,0.5,0.5,high_bad,nan,1.0,1.0
external60,ensemble_fail,transcript_speech,transcript_char_count,60,2,0.375,0.625,low_bad,-0.07794606278443494,0.7150569886022795,0.713257348530294
external60,ensemble_fail,transcript_speech,transcript_available,60,2,0.27586206896551724,0.7241379310344828,low_bad,-0.32258958354055234,0.9974005198960207,1.0
external60,clip_fail,tribe_gap_route,mean_visual_gap,60,20,0.5375,0.5375,high_bad,0.06124575051461869,0.32633473305338934,0.26854629074185166
external60,clip_fail,tribe_gap_route,max_visual_gap,60,20,0.53125,0.53125,high_bad,0.051038125428848904,0.35432913417316536,0.2891421715656869
external60,clip_fail,tribe_gap_route,mean_scene_spatial_gap,60,20,0.4825,0.5175000000000001,low_bad,-0.028581350240155387,0.5866826634673066,0.4549090181963607
external60,clip_fail,tribe_gap_route,mean_agent_action_gap,60,20,0.5575,0.5575,high_bad,0.09391015078908199,0.2461507698460308,0.24935012997400519
external60,clip_fail,tribe_gap_route,top1_vs_uniform,60,20,0.5275,0.5275,high_bad,0.044913550377387035,0.3747250549890022,0.3057388522295541
external60,clip_fail,tribe_gap_route,top1_share,60,20,0.49875,0.50125,low_bad,-0.0020415250171539564,0.5138972205558888,0.45710857828434315
external60,clip_fail,tribe_gap_route,scene_agent_peak_apart,60,20,0.6375,0.6375,high_bad,0.259416646850118,0.04099180163967207,0.07318536292741452
external60,clip_fail,tribe_gap_route,route_scene_spatial,60,20,0.45,0.55,low_bad,-0.11145564251507055,0.8748250349930013,0.7938412317536493
external60,clip_fail,tribe_gap_route,route_agent_action,60,20,0.55,0.55,high_bad,0.11145564251507055,0.2995400919816037,0.41991601679664065
external60,clip_fail,tribe_gap_route,accessibility_gap,60,20,0.56,0.56,high_bad,0.0979932008233899,0.22875424915016995,0.1295740851829634
external60,clip_fail,tribe_gap_route,description_loss,60,20,0.4725,0.5275000000000001,low_bad,-0.044913550377387035,0.6282743451309738,0.8020395920815837
external60,clip_fail,tribe_gap_route,alignment_loss,60,20,0.43,0.5700000000000001,low_bad,-0.1168527785003467,0.8204359128174366,0.5756848630273945
external60,clip_fail,category_only,category_loo_clip_fail_rate,60,20,0.305,0.6950000000000001,low_bad,-0.3219176042590193,0.9932013597280543,1.0
external60,clip_fail,duration_word_count,duration_s,60,20,0.5,0.5,high_bad,nan,1.0,1.0
external60,clip_fail,duration_word_count,tier3_word_count,60,20,0.4475,0.5525,low_bad,-0.08583831234946629,0.739252149570086,0.7254549090181963
external60,clip_fail,duration_word_count,tier3_words_per_sec,60,20,0.4475,0.5525,low_bad,-0.08583831234946629,0.739252149570086,0.7254549090181963
external60,clip_fail,transcript_speech,transcript_word_count,60,20,0.49375,0.50625,low_bad,-0.010322268439751649,0.524495100979804,0.4427114577084583
external60,clip_fail,transcript_speech,transcript_words_per_sec,60,20,0.49375,0.50625,low_bad,-0.010322268439751649,0.524495100979804,0.4427114577084583
external60,clip_fail,transcript_speech,transcript_unique_ratio,60,20,0.479375,0.520625,low_bad,-0.03505774744106495,0.6064787042591482,0.4267146570685863
external60,clip_fail,transcript_speech,transcript_sound_cue_count,60,20,0.5,0.5,high_bad,nan,1.0,1.0
external60,clip_fail,transcript_speech,transcript_char_count,60,20,0.485,0.515,low_bad,-0.0245635667032419,0.5684863027394521,0.4071185762847431
external60,clip_fail,transcript_speech,transcript_available,60,20,0.475,0.525,low_bad,-0.0944911182523068,0.8954209158168366,0.5860827834433113
external60,t3_lost_any,tribe_gap_route,mean_visual_gap,60,6,0.5679012345679012,0.5679012345679012,high_bad,0.07057483564225334,0.29194161167766447,0.5548890221955609
external60,t3_lost_any,tribe_gap_route,max_visual_gap,60,6,0.5648148148148148,0.5648148148148148,high_bad,0.06736688856760545,0.30133973205358927,0.5920815836832634
external60,t3_lost_any,tribe_gap_route,mean_scene_spatial_gap,60,6,0.5123456790123457,0.5123456790123457,high_bad,0.012831788298591515,0.46610677864427114,0.6824635072985403
external60,t3_lost_any,tribe_gap_route,mean_agent_action_gap,60,6,0.5833333333333334,0.5833333333333334,high_bad,0.08661457101549272,0.2553489302139572,0.4355128974205159
external60,t3_lost_any,tribe_gap_route,top1_vs_uniform,60,6,0.5092592592592593,0.5092592592592593,high_bad,0.009623841223943636,0.47330533893221355,0.6096780643871226
external60,t3_lost_any,tribe_gap_route,top1_share,60,6,0.5895061728395061,0.5895061728395061,high_bad,0.09303046516478848,0.24415116976604678,0.29474105178964205
external60,t3_lost_any,tribe_gap_route,scene_agent_peak_apart,60,6,0.5833333333333334,0.5833333333333334,high_bad,0.10005560189476052,0.372125574885023,0.16376724655068986
external60,t3_lost_any,tribe_gap_route,route_scene_spatial,60,6,0.4444444444444444,0.5555555555555556,low_bad,-0.07881104062391008,0.8638272345530894,0.9084183163367326
external60,t3_lost_any,tribe_gap_route,route_agent_action,60,6,0.5555555555555556,0.5555555555555556,high_bad,0.07881104062391008,0.4365126974605079,0.40211957608478305
external60,t3_lost_any,tribe_gap_route,accessibility_gap,60,6,0.5833333333333334,0.5833333333333334,high_bad,0.08661457101549272,0.2579484103179364,0.16296740651869626
external60,t3_lost_any,tribe_gap_route,description_loss,60,6,0.7314814814814815,0.7314814814814815,high_bad,0.2405960305985909,0.03059388122375525,0.04239152169566087
external60,t3_lost_any,tribe_gap_route,alignment_loss,60,6,0.6049382716049383,0.6049382716049383,high_bad,0.11148140201011437,0.20655868826234752,0.23595280943811237
external60,t3_lost_any,category_only,category_loo_t3_lost_any_rate,60,6,0.7530864197530864,0.7530864197530864,high_bad,0.27925342608176756,0.013597280543891222,1.0
external60,t3_lost_any,duration_word_count,duration_s,60,6,0.5,0.5,high_bad,nan,1.0,1.0
external60,t3_lost_any,duration_word_count,tier3_word_count,60,6,0.2361111111111111,0.7638888888888888,low_bad,-0.27458100052628936,0.9848030393921215,0.9634073185362927
external60,t3_lost_any,duration_word_count,tier3_words_per_sec,60,6,0.2361111111111111,0.7638888888888888,low_bad,-0.27458100052628936,0.9848030393921215,0.9634073185362927
external60,t3_lost_any,transcript_speech,transcript_word_count,60,6,0.4367283950617284,0.5632716049382716,low_bad,-0.06650150810000606,0.6952609478104379,0.9124175164967007
external60,t3_lost_any,transcript_speech,transcript_words_per_sec,60,6,0.4367283950617284,0.5632716049382716,low_bad,-0.06650150810000606,0.6952609478104379,0.9124175164967007
external60,t3_lost_any,transcript_speech,transcript_unique_ratio,60,6,0.6589506172839507,0.6589506172839507,high_bad,0.1719411318327504,0.09118176364727054,0.22235552889422117
external60,t3_lost_any,transcript_speech,transcript_sound_cue_count,60,6,0.5,0.5,high_bad,nan,1.0,1.0
external60,t3_lost_any,transcript_speech,transcript_char_count,60,6,0.33796296296296297,0.662037037037037,low_bad,-0.16886590569712925,0.9008198360327935,0.9578084383123375
external60,t3_lost_any,transcript_speech,transcript_available,60,6,0.4444444444444444,0.5555555555555556,low_bad,-0.1336306209562122,0.9484103179364127,1.0
