clip_idx,n_gt,n_pred,precision,recall,f1
0,3,3,1.0,1.0,1.0
1,2,2,1.0,1.0,1.0
2,4,0,0.0,0.0,0.0
3,1,1,1.0,1.0,1.0
4,2,2,1.0,1.0,1.0
5,5,0,0.0,0.0,0.0
6,3,0,0.0,0.0,0.0
7,3,0,0.0,0.0,0.0
8,2,0,0.0,0.0,0.0
9,5,0,0.0,0.0,0.0
11,4,4,1.0,1.0,1.0
12,5,5,1.0,1.0,1.0
13,2,2,1.0,1.0,1.0
14,4,4,1.0,1.0,1.0
15,5,5,1.0,1.0,1.0
16,1,1,1.0,1.0,1.0
17,5,5,1.0,1.0,1.0
18,5,0,0.0,0.0,0.0
19,3,0,0.0,0.0,0.0
20,2,0,0.0,0.0,0.0
