clip_idx,category,mdci_text_vs_short,mdci_text_vs_long,pro_words,tribe_pressure,quality_risk
12,Sports,0.8222222222222222,0.8444444444444444,64,0.7773895351344968,tier2/tier1 inversion risk
15,Pets & Animals,0.85,0.7,53,0.9666236079560244,professional AD barely leads
11,Sports,0.8723404255319149,0.7446808510638299,69,0.6521471291401642,clean
4,Food & Cooking,0.851063829787234,0.7659574468085106,73,0.2598825981271284,clean
3,Food & Cooking,0.8095238095238095,0.7857142857142857,54,0.4410749686063837,clean
19,Pets & Animals,0.8571428571428572,0.7380952380952381,52,0.4289453794257133,clean
14,Sports,0.7777777777777778,0.7777777777777778,46,0.6915530363309926,clean
17,Pets & Animals,0.8723404255319149,0.7659574468085106,60,1.011932460644266,clean
5,Food & Cooking,0.8478260869565217,0.5869565217391304,60,1.2593217122146318,clean
8,Travel,0.8372093023255813,0.7906976744186046,56,0.5168107749041408,clean
1,Food & Cooking,0.9166666666666666,0.7708333333333334,62,0.4734879573821467,clean
6,Travel,0.868421052631579,0.868421052631579,40,0.5964092854910492,clean
13,Sports,0.8163265306122449,0.6938775510204082,67,0.52607180974068,clean
7,Travel,0.7931034482758621,0.7931034482758621,41,0.5630882229323458,clean
9,Sports,0.8387096774193549,0.7741935483870968,35,1.1131514474504225,clean
0,Food & Cooking,0.7586206896551724,0.6551724137931034,40,0.6214341884397624,clean
18,Pets & Animals,0.9024390243902439,0.7804878048780488,55,1.032651734741736,clean
16,Pets & Animals,0.8787878787878788,0.7272727272727273,43,0.258300514979529,clean
