video_id,category,pro_beats_short,full_order,tier3_composite,tier1_composite
0m0-Q0zz_-c_000112_000122,How-to & Instructional,True,False,0.6919228468899521,0.2700986842105263
0t0DB1B1w8Y_000000_000010,Sports,True,False,0.4709351965601965,0.1667045454545454
1-jIze6gy0g_000026_000036,How-to & Instructional,True,False,0.5859148690292758,0.308760593220339
1HUWWCLza0w_000000_000010,Sports,True,False,0.5478846153846153,0.2930288461538461
1YemrpNBpf4_000001_000011,Entertainment,True,False,0.5566930751173709,0.2472535211267605
1kLhK8KfIEw_000020_000030,How-to & Instructional,True,False,0.5106233850129199,0.3023449612403101
21T1JDdJgsM_000047_000057,Entertainment,True,False,0.60681797483027,0.3408774217585693
2kJxrcNRS9w_000047_000057,Sports,True,False,0.5686274509803921,0.232046568627451
3su234u58DA_000172_000182,Entertainment,True,False,0.711111111111111,0.1740605345911949
3ufJNSez5Is_000008_000018,How-to & Instructional,True,True,0.6812934981684982,0.4208928571428571
750QhTe9Z4U_000000_000010,People & Vlogs,True,False,0.6890608826912018,0.1441223404255319
8vkNr_eysXY_000002_000012,How-to & Instructional,True,True,0.5586991869918698,0.4011128048780488
9eBhetL8n5Q_000222_000232,People & Vlogs,True,False,0.6857007575757575,0.4160037878787879
9fuIpQgnNEQ_000049_000059,Event,True,True,0.555012315270936,0.3410991379310344
A0e7Z55s8pE_000008_000018,How-to & Instructional,True,False,0.5093242296918767,0.3424754901960784
AEkLDauJVi0_000069_000079,Food & Cooking,True,False,0.4093553268765133,0.1441737288135593
BHxn3qfPAl4_000018_000028,Health & Wellness,True,False,0.5352083333333334,0.2443749999999999
BcW6Y7eufQE_000239_000249,People & Vlogs,True,False,0.3786111111111111,0.2517361111111111
Bss3WwpDdS8_000041_000051,People & Vlogs,True,False,0.6958569538926681,0.3229398148148148
Ccgwurislg8_000082_000092,How-to & Instructional,True,False,0.5567047491039426,0.2400694444444444
D297atE3gag_000203_000213,How-to & Instructional,True,False,0.4868354473540643,0.0713942307692307
EA3HCx0yTIY_000281_000291,Music,True,False,0.6022916666666667,0.2320833333333333
F-mRnL_XmJU_000000_000010,Entertainment,True,False,0.6154870129870129,0.3388636363636363
GOH6fBhoi2o_000010_000020,Entertainment,True,False,0.4320192307692307,0.1733333333333333
HpRmj5ce32c_000001_000011,Sports,True,False,0.625581119544592,0.2949798387096774
N-LZPc27kjM_000229_000239,How-to & Instructional,True,False,0.5859950236499804,0.212510593220339
OASCPKazLIM_000132_000142,How-to & Instructional,True,False,0.6684289345711759,0.2461217948717948
RjPp0ZPW0yc_000000_000010,How-to & Instructional,True,False,0.6337460691823898,0.3208608490566037
RlfVK8z5wJ0_000000_000010,Sports,True,False,0.5734375,0.2132812499999999
S-C86j0keqc_000217_000227,Event,True,False,0.5528585946573752,0.2076422764227642
ShSSAEfnyDs_000000_000010,Entertainment,True,False,0.5952274189397838,0.1373134328358208
Xdz1cxEjLYc_000007_000017,Food & Cooking,True,False,0.6401321138211382,0.3366666666666666
Z5w-wkrjHuw_000345_000355,Entertainment,True,False,0.5645833333333333,0.33375
ZcYB6tPK2Eo_000138_000148,How-to & Instructional,True,False,0.604257491186839,0.3551630434782608
_TKzyWZHjm8_000002_000012,Health & Wellness,True,False,0.6903380503144654,0.2484198113207547
_oAKCHh_Av4_000003_000013,People & Vlogs,True,False,0.5176427360090446,0.269108606557377
bgt29znHCzs_000343_000353,Sports,True,False,0.733708193979933,0.3025
c_gQ9CSaZY4_000000_000010,How-to & Instructional,True,False,0.6194362745098039,0.3266666666666666
crjesEwF0Ks_000197_000207,How-to & Instructional,True,False,0.6610576923076923,0.2590865384615384
d7_SY48r__8_000060_000070,How-to & Instructional,True,False,0.614375,0.3337499999999999
dlBeUWrse3I_000019_000029,How-to & Instructional,True,False,0.5649740878938639,0.1615360696517412
eb-ufaFcUas_000008_000018,Entertainment,True,False,0.5590994953627932,0.3900930851063829
g8Idd47kGqo_000037_000047,Entertainment,True,False,0.620443106149628,0.2518478260869565
gFBO3zrod9Y_000005_000015,People & Vlogs,True,False,0.5187276214833759,0.2659782608695652
heWD9j45Emw_000225_000235,Music,True,False,0.6297832817337461,0.231813725490196
iEAWgsSvJAE_000023_000033,Film & Animation,True,False,0.5982838983050847,0.2864724576271186
iZP6gjlr_nM_000113_000123,How-to & Instructional,True,False,0.5673477275756365,0.308415300546448
j4CKRgv3jUg_000000_000010,Entertainment,True,False,0.4584375,0.2727083333333333
j6CgiNeWQwM_000842_000852,Food & Cooking,True,False,0.524900078369906,0.1612787356321839
jeweRSnAJeo_000050_000060,Film & Animation,True,False,0.557565011820331,0.2893173758865248
lgJywzzdUC8_000000_000010,Event,True,False,0.5702083333333333,0.3282142857142857
rGQ64NXktF8_000006_000016,People & Vlogs,True,False,0.5493396226415095,0.2568867924528302
u-olDM7oGGM_000012_000022,Health & Wellness,True,False,0.583392857142857,0.2638392857142857
v2Hr1CH-yb0_000076_000086,How-to & Instructional,True,False,0.5848342513259893,0.2826315789473684
wbOD_G3ttgU_000083_000093,How-to & Instructional,True,False,0.6172861842105264,0.3024999999999999
xW6hpK-DBMY_000080_000090,How-to & Instructional,True,False,0.6052380952380951,0.4492261904761904
yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",True,False,0.7078268970189703,0.2419444444444444
zTJ0Zbv1jBo_000045_000055,Health & Wellness,True,False,0.5692045454545455,0.3299621212121212
