video_id,category,tier3_rank_pct,tier3_minus_tier0,tier3_minus_tier1,tier3_minus_tier2,tier0_source_minus_target,tier0_source_rank_pct,tier0_target_rank_pct,adqa_fail,ensemble_fail,mean_visual_gap,max_visual_gap,top1_vs_uniform,dominant_clip_type
0m0-Q0zz_-c_000112_000122,How-to & Instructional,1.0,0.0,0.03389830508474578,0.0,-0.7796610169491526,0.22033898305084745,1.0,0,0,0.26749466598269644,1.0014171641982383,3.7436902172210695,scene_spatial
0t0DB1B1w8Y_000000_000010,Sports,0.22033898305084745,0.05084745762711865,0.0847457627118644,0.05084745762711865,0.288135593220339,0.4576271186440678,0.1694915254237288,0,0,0.03272520589509773,0.05543514813754713,1.6939587275706451,scene_spatial
1-jIze6gy0g_000026_000036,How-to & Instructional,0.4576271186440678,-0.01694915254237289,0.3728813559322034,0.3559322033898305,-0.3728813559322034,0.1016949152542373,0.4745762711864407,1,0,0.19188481341365787,0.595758704526796,3.1047725660419117,scene_spatial
1HUWWCLza0w_000000_000010,Sports,0.1016949152542373,-0.06779661016949151,-0.42372881355932207,-0.5593220338983051,0.7627118644067796,0.9322033898305084,0.1694915254237288,0,0,0.3700086369131312,1.368165970638435,3.6976595520921487,scene_spatial
1YemrpNBpf4_000001_000011,Entertainment,0.9322033898305084,0.10169491525423724,0.05084745762711862,0.05084745762711862,-0.7457627118644068,0.0847457627118644,0.8305084745762712,1,0,0.2593689352602941,0.7834556265811858,3.02062244190861,agent_action
1kLhK8KfIEw_000020_000030,How-to & Instructional,0.0847457627118644,0.05084745762711864,0.016949152542372878,0.05084745762711864,0.11864406779661019,0.15254237288135594,0.03389830508474576,1,0,0.29248868425036373,0.38394841934619484,1.3126949520465674,scene_spatial
21T1JDdJgsM_000047_000057,Entertainment,0.15254237288135594,-0.2542372881355932,-0.423728813559322,-0.27118644067796605,0.44067796610169485,0.847457627118644,0.4067796610169492,0,0,0.19655998774942185,0.6462093690891746,3.2875936577335043,scene_spatial
2kJxrcNRS9w_000047_000057,Sports,0.847457627118644,0.37288135593220334,0.2033898305084746,0.03389830508474567,-0.2711864406779661,0.2033898305084746,0.4745762711864407,0,0,0.42775132100150925,0.7995618815521248,1.8692213028824372,scene_spatial
3su234u58DA_000172_000182,Entertainment,0.2033898305084746,0.15254237288135594,-0.3220338983050848,-0.5423728813559322,0.20338983050847456,0.2542372881355932,0.05084745762711865,0,0,0.19330331968007142,0.7563181075466374,3.912597614973138,agent_action
3ufJNSez5Is_000008_000018,How-to & Instructional,0.2542372881355932,0.016949152542372864,0.20338983050847456,0.06779661016949151,0.10169491525423727,0.3389830508474576,0.23728813559322035,0,0,0.10754064404636283,0.28478637695885756,2.6481743668568756,scene_spatial
750QhTe9Z4U_000000_000010,People & Vlogs,0.3389830508474576,0.05084745762711862,0.0847457627118644,0.01694915254237289,0.47457627118644063,0.7627118644067796,0.288135593220339,0,0,0.1550594798400192,0.4508565683102179,2.907636274643665,scene_spatial
