metric,observed_rho,null_mean_rho,null_p_ge_observed,n_permutations
need_weighted_clip,0.732829571454115,0.0017997959540361661,0.0,2000
critical_weighted_clip,0.7274499090209282,0.0020323169192039085,0.0,2000
clip_mean,0.7250589479395119,0.0017878411486290846,0.0,2000
clip_top3,0.7346227922651773,0.001811750759443249,0.0,2000
weighted_ocr_score,0.22537446792760443,0.007197897069437868,0.357,2000
mean_ocr_score,0.22537446792760443,0.007197897069437868,0.357,2000
