metric,spearman_rho,spearman_p,kendall_tau,kendall_p,pairwise_wins,pairwise_total,full_order_clips,full_order_total
need_weighted_clip,0.732829571454115,2.5224836431773755e-13,0.5876824758111825,4.4282739646451975e-11,48,54,11,18
critical_weighted_clip,0.7274499090209282,4.577570588806313e-13,0.5840935751955417,5.801977254915192e-11,48,54,11,18
clip_mean,0.7250589479395119,5.938878873120634e-13,0.5805046745799008,7.589774234925843e-11,48,54,11,18
clip_top3,0.7346227922651773,2.061455081953742e-13,0.5876824758111825,4.4282739646451975e-11,48,54,10,18
weighted_ocr_score,0.22537446792760443,0.591514313291049,0.19802950859533489,0.5520349606218804,3,6,0,2
mean_ocr_score,0.22537446792760443,0.591514313291049,0.19802950859533489,0.5520349606218804,3,6,0,2
